"gene","has_TES_peak","has_TEAD1_peak","has_DMR","TES_peak_count","TEAD1_peak_count","DMR_count","category"
"LOC105378751",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"JUN",TRUE,TRUE,FALSE,2,1,0,"TEAD1 only"
"JUN-DT",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LOC101926907",TRUE,TRUE,FALSE,2,1,0,"TEAD1 only"
"LINC02777",TRUE,TRUE,FALSE,2,2,0,"TEAD1 only"
"LINC01358",TRUE,TRUE,TRUE,1,1,1,"TES + TEAD1 + DMR"
"HSD52",TRUE,TRUE,FALSE,6,4,0,"TEAD1 only"
"FGGY",TRUE,TRUE,TRUE,19,12,5,"TES + TEAD1 + DMR"
"MIR4711",TRUE,TRUE,FALSE,4,2,0,"TEAD1 only"
"LOC107984963",TRUE,FALSE,FALSE,2,0,0,"TES only"
"LINC01748",TRUE,TRUE,TRUE,6,1,1,"TES + TEAD1 + DMR"
"LOC101926964",TRUE,FALSE,FALSE,1,0,0,"TES only"
"NFIA",TRUE,TRUE,TRUE,6,3,3,"TES + TEAD1 + DMR"
"PATJ",TRUE,TRUE,TRUE,3,1,8,"TES + TEAD1 + DMR"
"KANK4",TRUE,TRUE,TRUE,8,2,1,"TES + TEAD1 + DMR"
"DOCK7-DT",TRUE,FALSE,FALSE,2,0,0,"TES only"
"LINC01739",TRUE,FALSE,TRUE,1,0,2,"TES + DMR"
"LINC00466",TRUE,TRUE,TRUE,3,2,2,"TES + TEAD1 + DMR"
"ROR1",TRUE,TRUE,TRUE,2,1,1,"TES + TEAD1 + DMR"
"ROR1-AS1",TRUE,TRUE,FALSE,2,3,0,"TEAD1 only"
"CACHD1",TRUE,TRUE,TRUE,2,2,1,"TES + TEAD1 + DMR"
"JAK1",TRUE,TRUE,TRUE,1,1,6,"TES + TEAD1 + DMR"
"LINC01359",TRUE,FALSE,FALSE,1,0,0,"TES only"
"AK4",TRUE,FALSE,TRUE,1,0,2,"TES + DMR"
"LEPROT",TRUE,TRUE,FALSE,2,3,0,"TEAD1 only"
"PDE4B",TRUE,TRUE,TRUE,9,4,2,"TES + TEAD1 + DMR"
"SGIP1",TRUE,TRUE,FALSE,2,1,0,"TEAD1 only"
"IL12RB2",TRUE,TRUE,TRUE,3,1,3,"TES + TEAD1 + DMR"
"GADD45A",TRUE,TRUE,TRUE,4,2,1,"TES + TEAD1 + DMR"
"GNG12-AS1",TRUE,TRUE,FALSE,4,2,0,"TEAD1 only"
"GNG12",TRUE,TRUE,FALSE,3,2,0,"TEAD1 only"
"LOC124900403",TRUE,TRUE,TRUE,2,1,3,"TES + TEAD1 + DMR"
"DIRAS3",TRUE,FALSE,TRUE,3,0,1,"TES + DMR"
"WLS",TRUE,FALSE,TRUE,8,0,2,"TES + DMR"
