"gene","has_TES_binding","has_TEAD1_binding","has_promoter_DMR","is_hypermethylated","is_hypomethylated","log2FC_expression","padj_expression","is_DEG","expression_direction","regulatory_class","epigenetic_subclass"
"H2BC7",TRUE,FALSE,FALSE,FALSE,FALSE,-5.44746146801954,1.88149732083129e-97,TRUE,"Down","Direct non-epigenetic (TES)",NA
"NUDT4",FALSE,FALSE,FALSE,FALSE,FALSE,-2.59334223195027,2.10296711069722e-97,TRUE,"Down","Indirect expression",NA
"TENM2",TRUE,TRUE,FALSE,FALSE,FALSE,-2.46057753090908,2.50794831939736e-97,TRUE,"Down","TES+TEAD1 co-regulated",NA
"AIF1L",FALSE,TRUE,TRUE,TRUE,FALSE,-2.87952414730563,1.04426471617053e-96,TRUE,"Down","TEAD1-specific",NA
"TRIB2",FALSE,TRUE,FALSE,FALSE,FALSE,-2.65889115532627,2.81004343723428e-95,TRUE,"Down","TEAD1-specific",NA
"ARHGAP36",FALSE,FALSE,FALSE,FALSE,FALSE,6.16886172596524,2.81388987325923e-95,TRUE,"Up","Indirect expression",NA
"WDR33",FALSE,FALSE,FALSE,FALSE,FALSE,-2.7425822427732,3.84037786841247e-95,TRUE,"Down","Indirect expression",NA
"KRT8",FALSE,FALSE,FALSE,FALSE,FALSE,3.95835997662107,4.4874678463932e-95,TRUE,"Up","Indirect expression",NA
"KDM5D",FALSE,TRUE,FALSE,FALSE,FALSE,-3.7366141589811,6.67121122523648e-95,TRUE,"Down","TEAD1-specific",NA
"PTBP2",FALSE,FALSE,FALSE,FALSE,FALSE,-2.71793628306409,2.255045495025e-94,TRUE,"Down","Indirect expression",NA
"CDK6",TRUE,FALSE,FALSE,FALSE,FALSE,-2.50416652567573,5.2950036925613e-94,TRUE,"Down","Direct non-epigenetic (TES)",NA
"ZNF432",TRUE,FALSE,FALSE,FALSE,FALSE,2.60779489843246,8.85088995801611e-94,TRUE,"Up","Direct non-epigenetic (TES)",NA
"NFIX",FALSE,FALSE,FALSE,FALSE,FALSE,-2.53560146678647,1.26909082358836e-93,TRUE,"Down","Indirect expression",NA
"WWC2",FALSE,FALSE,FALSE,FALSE,FALSE,-2.86446450765268,3.19013694734699e-93,TRUE,"Down","Indirect expression",NA
"LRP4",FALSE,TRUE,FALSE,FALSE,FALSE,2.88472761765719,3.19046432304154e-93,TRUE,"Up","TEAD1-specific",NA
"ENSG00000263567.1",FALSE,FALSE,FALSE,FALSE,FALSE,8.49558664066747,3.22339836981784e-93,TRUE,"Up","Indirect expression",NA
"HNMT",TRUE,TRUE,FALSE,FALSE,FALSE,-5.9575449585292,4.25744299402014e-93,TRUE,"Down","TES+TEAD1 co-regulated",NA
"H2AC8",FALSE,TRUE,FALSE,FALSE,FALSE,-4.12017822339573,5.18520649255948e-93,TRUE,"Down","TEAD1-specific",NA
"OLFML2A",FALSE,FALSE,FALSE,FALSE,FALSE,-4.04920916381454,6.88435480107834e-93,TRUE,"Down","Indirect expression",NA
"CP",TRUE,TRUE,FALSE,FALSE,FALSE,-3.82611646445878,1.38794489255363e-92,TRUE,"Down","TES+TEAD1 co-regulated",NA
"SORL1",TRUE,FALSE,FALSE,FALSE,FALSE,-2.95239903492511,2.85094774693956e-92,TRUE,"Down","Direct non-epigenetic (TES)",NA
"PCOLCE2",FALSE,FALSE,FALSE,FALSE,FALSE,6.74181809257981,3.2330338579935e-92,TRUE,"Up","Indirect expression",NA
"TMX4",FALSE,FALSE,FALSE,FALSE,FALSE,-2.8639295809013,4.57014100301149e-92,TRUE,"Down","Indirect expression",NA
"FTCD",FALSE,FALSE,TRUE,TRUE,FALSE,4.78606537763229,4.76946236694106e-92,TRUE,"Up","Indirect methylation",NA
"DTWD1",FALSE,FALSE,FALSE,FALSE,FALSE,-3.92699589639045,8.38209352545054e-92,TRUE,"Down","Indirect expression",NA
"LRIG3",TRUE,FALSE,FALSE,FALSE,FALSE,-2.59470290398658,9.11184716506836e-92,TRUE,"Down","Direct non-epigenetic (TES)",NA
"H2BC10",FALSE,FALSE,FALSE,FALSE,FALSE,-4.69964491570344,1.92674848344718e-91,TRUE,"Down","Indirect expression",NA
