"gene_name","n_total_peaks","n_promoter_peaks","n_enhancer_peaks","categories","log2FoldChange","padj","is_DEG"
"DAGLA",1,0,1,"TEAD1_unique",0.0483527179059782,0.836927681876097,FALSE
"DAGLB",1,0,1,"TEAD1_unique",-0.232384706633826,0.214776519129301,FALSE
"DANCR",1,0,1,"TEAD1_unique",-0.170156604990268,0.503028894948664,FALSE
"DAP",1,1,0,"TEAD1_unique",-1.28535024542311,1.95669827835041e-19,TRUE
"DAPK1",2,1,1,"TEAD1_unique;TES_unique",-0.943165896543244,4.78186617216768e-08,TRUE
"DAPK2",3,1,2,"Shared_TEAD1_dominant;TEAD1_unique;TES_unique",0.482940396486292,0.00188420869296179,TRUE
"DAPK3",1,1,0,"TEAD1_unique",-0.297762093630743,0.105208414300894,FALSE
"DAPL1",2,0,2,"TEAD1_unique;TES_unique",3.77327629126104,0.0596210007400432,FALSE
"DARS1",2,0,2,"Shared_TES_dominant;TES_unique",-0.406611570871887,0.067550505381039,FALSE
"DARS2",1,1,0,"Shared_TES_dominant",-0.841924080325739,9.54201166913195e-08,TRUE
"DAZL",1,0,1,"TES_unique",2.84828173167614,0.0680103473222046,FALSE
"DBNDD1",1,1,0,"TEAD1_unique",1.13852924741292,3.62810502539965e-14,TRUE
"DCAF12",1,0,1,"TEAD1_unique",-0.301624878251353,0.0987855544767353,FALSE
"DCAF4",1,0,1,"TEAD1_unique",1.16040512972686,7.28515618558833e-07,TRUE
"DCAF4L2",2,0,2,"Shared_TEAD1_dominant;TEAD1_unique",3.82710637541283,0.0196626861152221,TRUE
"DCAF5",3,0,3,"Shared_TEAD1_dominant;TEAD1_unique;TES_unique",-0.0814747429779323,0.66684908615063,FALSE
"DCAF6",1,0,1,"TES_unique",0.604248045684142,1.07407199998964e-05,TRUE
"DCAF8",1,1,0,"TEAD1_unique",-0.67614226965435,2.42587367926426e-06,TRUE
"DCBLD1",5,1,4,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_high;TEAD1_unique;TES_unique",-0.963541143133898,3.40742547480598e-09,TRUE
"DCBLD2",1,1,0,"TES_unique",-2.59420650209385,8.09507897533245e-122,TRUE
"DCK",1,0,1,"Shared_TEAD1_dominant",0.867849651315066,5.69884978074045e-06,TRUE
"DCLK1",4,1,3,"Shared_TES_dominant;Shared_high;TEAD1_unique;TES_unique",-1.54654639102677,1.28750767885217e-30,TRUE
"DCLK2",4,1,3,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",-0.0252693961964045,0.926025658795493,FALSE
"DCP1A",1,1,0,"TEAD1_unique",-0.0503934231542411,0.806035736833626,FALSE
"DCP2",2,0,2,"TEAD1_unique;TES_unique",-0.445900881716382,0.000599412629605892,TRUE
"DCPS",2,1,1,"TEAD1_unique;TES_unique",-0.398650861079482,0.0250676132907016,TRUE
"DCUN1D4",1,0,1,"TEAD1_unique",-0.492041129197398,0.00169390858420317,TRUE
"DDAH1",4,2,2,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",-1.4102552100202,7.2152491043011e-24,TRUE
"DDB2",1,1,0,"TEAD1_unique",-0.128537382282176,0.626148351864064,FALSE
"DDHD1",1,0,1,"TEAD1_unique",-0.126560874361485,0.555011423795472,FALSE
"DDIT4",1,0,1,"TEAD1_unique",-1.99970182712165,1.92246077415223e-39,TRUE
"DDR1",1,1,0,"TEAD1_unique",0.525531899857801,3.07055736903431e-05,TRUE
"DDR2",3,1,2,"Shared_TES_dominant;Shared_equivalent;TES_unique",-4.52405488046812,8.7128848639006e-284,TRUE
"DDX10",4,2,2,"Shared_TEAD1_dominant;Shared_equivalent;TEAD1_unique;TES_unique",-0.736211505045098,1.22168290520027e-06,TRUE
"DDX11",1,1,0,"TEAD1_unique",-0.273928680252695,0.114212750263689,FALSE
"DDX42",1,1,0,"TEAD1_unique",-0.165422002745543,0.354333115060137,FALSE
"DDX46",1,0,1,"Shared_TEAD1_dominant",0.221385694301046,0.160909517259425,FALSE
"DDX47",1,1,0,"Shared_TEAD1_dominant",-0.170709955958264,0.702241363847744,FALSE
"DDX53",1,0,1,"TEAD1_unique",-1.71091058975168,0.0981105053557261,FALSE
"DECR1",1,0,1,"TES_unique",-0.237742896066064,0.250800991786103,FALSE
"DEGS1",1,0,1,"TEAD1_unique",0.250936742992123,0.324216999351146,FALSE
"DELE1",1,0,1,"TEAD1_unique",0.0380187088096351,0.870715304912695,FALSE
"DELEC1",4,1,3,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",-0.142015221173922,0.823212139763724,FALSE
"DENND10",1,1,0,"TEAD1_unique",0.293754989403066,0.135529356825437,FALSE
"DENND1A",1,0,1,"TEAD1_unique",0.0341857668840755,0.881296755527946,FALSE
"DENND1B",3,1,2,"Shared_TES_dominant;TEAD1_unique;TES_unique",-0.872241494958359,3.33434485851325e-08,TRUE
"DENND2A",4,2,2,"Shared_TES_dominant;Shared_high;TEAD1_unique;TES_unique",0.656310070926958,8.34987683975393e-06,TRUE
"DENND2B",2,2,0,"Shared_TES_dominant;TEAD1_unique",-0.87564127334362,8.82040593838225e-10,TRUE
"DENND2C",1,1,0,"TES_unique",0.866854325309585,8.2487245156271e-09,TRUE
"DENND2D",1,1,0,"TEAD1_unique",0.490166635780015,0.271711821286505,FALSE
"DENND3",1,1,0,"Shared_high",2.64813335118802,1.55253030618188e-47,TRUE
"DENND3-AS1",2,2,0,"Shared_high;TEAD1_unique",3.96524541434289,8.75799744833737e-08,TRUE
"DENND5B",2,0,2,"Shared_high;TEAD1_unique",-1.34801547961826,3.38367230273343e-26,TRUE
"DENND5B-AS1",1,0,1,"TEAD1_unique",-1.88679060750256,0.000737109976733047,TRUE
"DENND6A-DT",1,0,1,"TEAD1_unique",1.20816244396159,0.108949488180903,FALSE
"DEPDC1B",2,1,1,"Shared_TEAD1_dominant;TEAD1_unique",-1.90442024644276,2.7164535442793e-14,TRUE
"DEPP1",1,1,0,"TEAD1_unique",-1.71988166641582,9.10446571788055e-31,TRUE
"DEPTOR",2,0,2,"Shared_TES_dominant;TEAD1_unique",4.224646394542,2.35860548687567e-46,TRUE
"DERA",1,0,1,"TEAD1_unique",-1.25153211664175,3.49139269728443e-08,TRUE
"DERL1",1,0,1,"TES_unique",0.558780657938927,0.000114298567830983,TRUE
"DGAT2L6",2,0,2,"Shared_TEAD1_dominant;TEAD1_unique",5.81062152617475,2.40490637545692e-48,TRUE
"DGKD",2,0,2,"Shared_TES_dominant;TEAD1_unique",0.0278562021320119,0.898143869885475,FALSE
"DGKG",1,0,1,"TEAD1_unique",0.29923134132842,0.0866451314383966,FALSE
"DGKH",2,0,2,"TEAD1_unique;TES_unique",1.22983223015896,1.09480806878928e-20,TRUE
"DGKI",3,2,1,"Shared_TES_dominant;TEAD1_unique;TES_unique",0.724649256291461,9.90905313630187e-05,TRUE
"DGLUCY",3,2,1,"Shared_TES_dominant;TEAD1_unique;TES_unique",-1.57584713899654,1.84751972246587e-25,TRUE
"DGUOK",2,0,2,"TEAD1_unique;TES_unique",0.0380634876188493,0.893393886018496,FALSE
"DHCR24",3,0,3,"Shared_TES_dominant;Shared_equivalent;TEAD1_unique",2.16455133552493,2.17480833737205e-71,TRUE
"DHRS3",2,2,0,"Shared_equivalent;TEAD1_unique",-3.40999963743536,1.85849980385949e-190,TRUE
"DHRS7",1,1,0,"TES_unique",0.837570562424938,5.40998679808494e-05,TRUE
"DHRS9",2,1,1,"Shared_TES_dominant;TES_unique",-1.39011427474909,0.024956488591021,TRUE
"DHX15",1,0,1,"TES_unique",0.196576931737264,0.298498083961258,FALSE
"DHX29",2,2,0,"TEAD1_unique;TES_unique",-0.102358219804069,0.654175460451024,FALSE
"DHX30",1,1,0,"TEAD1_unique",0.468310586240364,0.000750724893869761,TRUE
"DHX32",1,0,1,"TEAD1_unique",0.214391824974129,0.207900646404302,FALSE
"DHX35",1,1,0,"Shared_TES_dominant",1.11563584337167,4.46473755130765e-13,TRUE
"DHX36",1,1,0,"TES_unique",0.760669412933919,1.27749484932257e-08,TRUE
"DIAPH1",2,2,0,"Shared_high;TES_unique",0.367788343737591,0.00848472231539326,TRUE
"DIAPH2-AS1",1,0,1,"TEAD1_unique",0.794554963686158,0.0361565602036171,TRUE
"DIAPH3",3,1,2,"Shared_TES_dominant;TEAD1_unique;TES_unique",-2.95655988875074,1.10511502835258e-60,TRUE
"DICER1",1,1,0,"TES_unique",-0.0390216695572421,0.847229256224266,FALSE
"DIO1",1,1,0,"Shared_high",0.374634850891236,0.376021450508927,FALSE
"DIO2",3,1,2,"Shared_TES_dominant;TEAD1_unique;TES_unique",0.34579694547342,0.157175502654539,FALSE
"DIP2B",4,0,4,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",0.00661644867865251,0.975819586507744,FALSE
"DIP2C",2,0,2,"Shared_TEAD1_dominant;Shared_TES_dominant",-0.752215534833554,2.80631620610666e-08,TRUE
"DIPK1A",3,0,3,"Shared_TES_dominant;Shared_equivalent;TES_unique",2.40353341029017,1.79680877852393e-41,TRUE
"DIPK2A",1,1,0,"TEAD1_unique",-0.531519909554875,0.00103014325095248,TRUE
"DIRAS3",1,0,1,"TES_unique",-1.83659979284465,1.1363382097263e-08,TRUE
"DIRC3",5,3,2,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_high;TEAD1_unique;TES_unique",-0.535023697863504,0.47124803153942,FALSE
"DIS3L",1,1,0,"Shared_TEAD1_dominant",-1.36309272066078,1.51444009386549e-17,TRUE
"DIS3L2",1,0,1,"TEAD1_unique",-0.182416963735772,0.317997579839057,FALSE
"DISC1-IT1",1,0,1,"TEAD1_unique",1.66629886615929,0.130542562414291,FALSE
"DISP1",2,2,0,"Shared_TES_dominant;Shared_equivalent",-0.327209494615481,0.041158550700459,TRUE
"DIXDC1",2,2,0,"Shared_high;TEAD1_unique",0.814897969491142,8.38159341368729e-09,TRUE
"DKFZp451B082",2,0,2,"Shared_TES_dominant;TEAD1_unique",0.8574487928415,0.659465251733445,FALSE
"DKK1",3,1,2,"Shared_high;TEAD1_unique;TES_unique",-2.92015398263843,6.21928695771507e-47,TRUE
"DKK3",4,2,2,"Shared_TES_dominant;Shared_high;TEAD1_unique;TES_unique",-0.33136365079444,0.140791038910211,FALSE
"DLAT",1,1,0,"TEAD1_unique",-1.1626613713622,1.19830800222763e-13,TRUE
"DLC1",2,1,1,"Shared_equivalent;TES_unique",-0.505294443047345,0.0184381763795534,TRUE
"DLD",1,0,1,"TES_unique",-2.61659159347079,3.84411899996311e-53,TRUE
"DLEU1",3,3,0,"Shared_TEAD1_dominant;Shared_TES_dominant;TES_unique",-0.457944312860946,0.0293907062432225,TRUE
"DLEU2",1,0,1,"TES_unique",-0.727625556470589,3.23608542594743e-05,TRUE
"DLG1",2,0,2,"TEAD1_unique;TES_unique",-0.930724673655747,4.09291539393626e-14,TRUE
"DLG1-AS1",3,2,1,"Shared_high;TEAD1_unique;TES_unique",-0.849053083289659,0.421953137347772,FALSE
"DLG5",2,1,1,"TEAD1_unique;TES_unique",-0.250313197643734,0.120193888391687,FALSE
"DLGAP1",4,2,2,"Shared_TEAD1_dominant;Shared_high;TEAD1_unique;TES_unique",1.76238337998294,0.000124056802729751,TRUE
"DLGAP1-AS3",1,0,1,"TEAD1_unique",3.68543586750536,0.0820580480010206,FALSE
"DLGAP4",1,0,1,"TEAD1_unique",0.0265134348951405,0.914548873472966,FALSE
"DLX2",1,0,1,"TEAD1_unique",-0.761523300852717,6.20683350883744e-05,TRUE
"DLX2-DT",1,1,0,"TEAD1_unique",-0.257023731730332,0.841748104691595,FALSE
"DLX3",1,1,0,"TEAD1_unique",1.06341032336347,0.496491581711914,FALSE
"DLX5",1,1,0,"TEAD1_unique",1.45222407882186,6.49317158691438e-15,TRUE
"DMAC2",1,1,0,"TEAD1_unique",0.493700122177227,0.00577859059678023,TRUE
"DMD",6,2,4,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_equivalent;Shared_high;TEAD1_unique;TES_unique",-3.60718304623363,2.68871414911187e-110,TRUE
"DMGDH",1,0,1,"TEAD1_unique",-0.47712612553897,0.262215969248597,FALSE
"DMKN",1,0,1,"TEAD1_unique",-2.27281295298148,0.00140267944375902,TRUE
"DMPK",1,1,0,"TEAD1_unique",0.0260209231927628,0.912322583768969,FALSE
"DMRT1",1,0,1,"Shared_TES_dominant",1.75008498130282,0.0718148864029315,FALSE
"DMTF1-AS1",1,1,0,"TEAD1_unique",2.52845495547251,0.0081884900790427,TRUE
"DMXL1",2,0,2,"Shared_TES_dominant;TES_unique",-0.101152354795772,0.546810028164379,FALSE
"DMXL2",1,1,0,"TES_unique",-0.508304835199319,9.08582180678144e-05,TRUE
"DNAAF1",1,1,0,"TEAD1_unique",0.572397560902144,0.315917750344623,FALSE
"DNAAF10",1,1,0,"TEAD1_unique",-0.187127982475252,0.646470218335027,FALSE
"DNAAF11",1,0,1,"TES_unique",0.0386774899050155,0.934182700479804,FALSE
"DNAAF9",2,2,0,"Shared_high;TEAD1_unique",-1.05874114270072,4.14974092689372e-16,TRUE
"DNAH11",1,0,1,"TES_unique",0.916964909020453,1.7040363585046e-05,TRUE
"DNAH12",1,0,1,"TEAD1_unique",1.4787005001291,1.4940037959312e-15,TRUE
"DNAH17",1,0,1,"TEAD1_unique",0.783081316177416,0.000182080560763782,TRUE
"DNAH2",1,0,1,"TEAD1_unique",0.638715975109697,0.154987058010565,FALSE
"DNAH5",4,2,2,"Shared_TES_dominant;Shared_high;TEAD1_unique;TES_unique",-2.78930835453172,2.97579907551411e-37,TRUE
"DNAH6",1,0,1,"TEAD1_unique",0.799176585895303,0.071352778279918,FALSE
"DNAH7",4,1,3,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",1.29376250584514,4.71650602479824e-11,TRUE
"DNAH9",2,1,1,"Shared_high;TES_unique",0.872526958795024,0.0114455808907278,TRUE
"DNAI1",1,0,1,"Shared_high",1.54979196907737,8.34705045683635e-10,TRUE
"DNAI7",1,0,1,"TEAD1_unique",0.956931257194792,0.0941120598404075,FALSE
"DNAJB12",1,0,1,"TEAD1_unique",-0.935054866567972,1.84250281839269e-11,TRUE
"DNAJB5-DT",1,1,0,"TEAD1_unique",1.94342101792366,0.0643205200479689,FALSE
"DNAJB6",2,0,2,"Shared_high;TEAD1_unique",-0.0768957707407835,0.705160414074024,FALSE
"DNAJC10",1,0,1,"TES_unique",0.142864913903461,0.458017058898137,FALSE
"DNAJC12",2,0,2,"Shared_TEAD1_dominant;TEAD1_unique",0.781302726195692,0.0078975161957438,TRUE
"DNAJC13",2,0,2,"TEAD1_unique;TES_unique",0.214233071922184,0.142664535625708,FALSE
"DNAJC15",1,0,1,"Shared_TES_dominant",1.58643772967096,3.55512705678841e-08,TRUE
"DNAJC18",1,0,1,"TEAD1_unique",-0.129295006549969,0.607632197278562,FALSE
"DNAJC27-AS1",1,0,1,"TEAD1_unique",0.904873698645224,0.0181303206792314,TRUE
"DNAJC28",1,1,0,"TEAD1_unique",1.79239640047414,3.21135173823613e-09,TRUE
"DNAJC3",1,0,1,"TES_unique",0.111123493812978,0.573387743407334,FALSE
"DNAJC5B",1,0,1,"TES_unique",-0.0323343735250071,0.98478501245728,FALSE
"DNAJC6",1,1,0,"TEAD1_unique",-0.110409982534474,0.572538577140333,FALSE
"DNAJC7",2,2,0,"Shared_high;TEAD1_unique",0.169279916257484,0.304054570260208,FALSE
"DNAL1",1,0,1,"TEAD1_unique",-0.621441881159855,0.00141451835363601,TRUE
"DNAL4",1,0,1,"TEAD1_unique",0.613132777132466,0.0141837089938496,TRUE
"DNER",2,1,1,"Shared_TEAD1_dominant;TEAD1_unique",-1.27277836629231,5.77143574429671e-10,TRUE
"DNM2",1,1,0,"TEAD1_unique",-0.178957760469286,0.242061168300372,FALSE
"DNM3",3,2,1,"Shared_TES_dominant;TEAD1_unique;TES_unique",0.480755461838458,0.00265103869100548,TRUE
"DNM3-IT1",3,0,3,"Shared_TES_dominant;TEAD1_unique;TES_unique",0.779451101170231,0.446744378191378,FALSE
"DNMBP",1,0,1,"Shared_TES_dominant",-1.20103133590294,2.15887618143601e-19,TRUE
"DNMT3B",1,1,0,"TEAD1_unique",-1.48946796137218,5.59390142383664e-12,TRUE
"DOCK1",1,1,0,"TEAD1_unique",-2.60720633264655,1.25521458925796e-82,TRUE
"DOCK10",6,1,5,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_equivalent;Shared_high;TEAD1_unique;TES_unique",-0.958551372644216,3.07740018196595e-10,TRUE
"DOCK11",1,0,1,"TES_unique",0.0724836472031151,0.791211257918958,FALSE
"DOCK2",4,3,1,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",-2.5710596611311,2.277324856085e-14,TRUE
"DOCK4",3,1,2,"Shared_TEAD1_dominant;Shared_TES_dominant;TES_unique",1.154402173083,5.83344859387892e-15,TRUE
"DOCK5",5,3,2,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_high;TEAD1_unique;TES_unique",-1.07875124929209,4.5900205949956e-14,TRUE
"DOCK7",2,0,2,"TEAD1_unique;TES_unique",-2.03626535714654,1.51802751879691e-61,TRUE
"DOCK8",3,2,1,"Shared_TEAD1_dominant;Shared_TES_dominant;TES_unique",-0.374672899661826,0.806654808316855,FALSE
"DOCK9",3,1,2,"Shared_TES_dominant;TEAD1_unique;TES_unique",-0.0392864291123144,0.856980207266908,FALSE
"DOK5",3,1,2,"Shared_TEAD1_dominant;TEAD1_unique;TES_unique",-5.89418903462436,2.37480555979352e-52,TRUE
"DOK6",2,0,2,"TEAD1_unique;TES_unique",-2.42784259207377,1.89655527886316e-12,TRUE
"DOP1B",1,0,1,"TEAD1_unique",1.03184689623143,2.1872723840526e-14,TRUE
"DOT1L",1,0,1,"Shared_TES_dominant",-0.383114483963902,0.0138508160108663,TRUE
"DPAGT1",1,1,0,"TEAD1_unique",-0.888550641974643,6.00306826166437e-06,TRUE
"DPF1",1,1,0,"TEAD1_unique",-0.380211079618031,0.183751428604087,FALSE
"DPF3",3,0,3,"Shared_TES_dominant;TEAD1_unique;TES_unique",0.283655399788503,0.404432026065207,FALSE
"DPH6",2,1,1,"Shared_TES_dominant;TES_unique",-0.508858203235825,0.0438527595864287,TRUE
"DPM1",1,0,1,"TEAD1_unique",0.2160787787025,0.348809886089298,FALSE
"DPP4",2,2,0,"TEAD1_unique;TES_unique",-1.21438992958065,0.013021138244146,TRUE
"DPP9",1,1,0,"TEAD1_unique",-0.0279989445370227,0.9023704749525,FALSE
"DPY19L2P3",2,0,2,"Shared_TES_dominant;TEAD1_unique",1.03267733216849,0.000782463261187553,TRUE
"DPY19L3",1,1,0,"TEAD1_unique",0.67252778959518,1.99376879963755e-06,TRUE
"DPYD",3,0,3,"Shared_TES_dominant;TEAD1_unique;TES_unique",-1.82043948750586,3.16750601150394e-46,TRUE
"DPYD-AS1",3,0,3,"Shared_TEAD1_dominant;Shared_high;TES_unique",-1.59883992712073,5.18573954984158e-08,TRUE
"DPYD-AS2",1,0,1,"TES_unique",-1.61252510834062,4.47110586543644e-09,TRUE
"DPYSL2",2,0,2,"Shared_TEAD1_dominant;TEAD1_unique",-0.603053776225674,4.68183136896061e-05,TRUE
"DPYSL3",2,1,1,"TEAD1_unique;TES_unique",0.907961810327742,1.15420801323698e-12,TRUE
"DRAIC",3,2,1,"Shared_high;TEAD1_unique;TES_unique",-0.506942426760187,0.287512056664855,FALSE
"DRAM1",2,1,1,"Shared_high;TEAD1_unique",-2.67752681952448,2.38573732817392e-47,TRUE
"DRAM2",1,0,1,"TEAD1_unique",-0.637647799778605,0.00188857034578665,TRUE
"DRC3",1,1,0,"TEAD1_unique",1.0310062094528,6.14104972412957e-10,TRUE
"DRD2",2,0,2,"TEAD1_unique;TES_unique",-1.64828754845511,2.07798912038548e-22,TRUE
"DRD3",1,0,1,"TEAD1_unique",0.82373863015202,0.708709536216689,FALSE
"DROSHA",1,0,1,"TES_unique",-0.492315041522945,0.000414249802006793,TRUE
"DRP2",1,1,0,"TEAD1_unique",1.34885254564119,2.32597091833195e-08,TRUE
"DSCR9",1,1,0,"Shared_TES_dominant",0.583068760177342,0.359672744180409,FALSE
"DSE",1,0,1,"TES_unique",-1.15172761122153,3.2453245353177e-14,TRUE
"DSEL",1,1,0,"Shared_high",-2.53493715232494,1.56588745118003e-60,TRUE
"DSEL-AS1",1,1,0,"Shared_TEAD1_dominant",0.573890045953722,0.793405996630612,FALSE
"DST",5,3,2,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_high;TEAD1_unique;TES_unique",-1.28647351697666,6.53229112711348e-25,TRUE
"DSTN",1,0,1,"TEAD1_unique",-2.43665593810999,4.69580299471198e-29,TRUE
"DSTYK",2,0,2,"Shared_TEAD1_dominant;TEAD1_unique",-0.0232595613410577,0.915727613884286,FALSE
"DTD1",1,1,0,"TEAD1_unique",-0.687083480025302,0.0024891765431219,TRUE
"DTD2",1,0,1,"TEAD1_unique",-4.6743119552586,4.53054861757939e-16,TRUE
"DTNA",3,2,1,"Shared_TES_dominant;TEAD1_unique;TES_unique",-0.858478326153406,2.47327505779781e-11,TRUE
"DTNB",2,0,2,"TEAD1_unique;TES_unique",0.446796716428229,0.00760997416427695,TRUE
"DTNBP1",2,1,1,"TEAD1_unique;TES_unique",-0.0180250132893865,0.950996705599817,FALSE
"DTWD1",1,0,1,"TEAD1_unique",-3.92699589639045,8.38209352545054e-92,TRUE
"DTX2P1-UPK3BP1-PMS2P11",1,1,0,"TEAD1_unique",-0.817579227653447,0.0719353792884149,FALSE
"DTX4",2,2,0,"Shared_TEAD1_dominant;TES_unique",1.78380068318111,1.59247552816625e-16,TRUE
"DTYMK",1,0,1,"TEAD1_unique",-0.749806129665341,2.40285823129987e-05,TRUE
"DUBR",2,0,2,"Shared_high;TES_unique",-0.306971464738768,0.115298758383759,FALSE
"DUOX1",1,1,0,"TEAD1_unique",0.0677532117112554,0.801191661879402,FALSE
"DUSP10",4,2,2,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",2.12824747431405,9.30623808798393e-61,TRUE
"DUSP14",3,2,1,"Shared_TEAD1_dominant;Shared_high;TEAD1_unique",0.0901422187592722,0.788243317404956,FALSE
"DUSP3",1,1,0,"TEAD1_unique",-1.56952449088774,4.35844206484197e-30,TRUE
"DUSP6",2,2,0,"Shared_TEAD1_dominant;TEAD1_unique",-1.29040610122964,9.20753233771632e-06,TRUE
"DUSP8",1,1,0,"TEAD1_unique",-0.0729670286688977,0.759177104798015,FALSE
"DYM-AS1",1,0,1,"TEAD1_unique",-0.491794484664167,0.711135257833711,FALSE
"DYNC1H1",1,0,1,"Shared_equivalent",-1.25642828542211,9.13784941670623e-26,TRUE
"DYNC1I1",2,0,2,"TEAD1_unique;TES_unique",1.71488998666399,2.80583963339875e-29,TRUE
"DYNC1I2",3,1,2,"Shared_TES_dominant;Shared_equivalent;TEAD1_unique",0.411570515030574,0.032366175673625,TRUE
"DYNC2I1",1,0,1,"TEAD1_unique",-0.342255648014295,0.0278713468745261,TRUE
"DYNC2I2",1,1,0,"TEAD1_unique",-0.277138838868043,0.179936392045528,FALSE
"DYNLL2-DT",1,1,0,"TEAD1_unique",0.141986726627613,0.947088013949393,FALSE
"DYNLT3",1,0,1,"Shared_TEAD1_dominant",-0.792129371727983,0.00121192350216838,TRUE
"DYNLT4",1,1,0,"TEAD1_unique",-0.773518166507999,0.061657623503888,FALSE
"DYRK1A",1,0,1,"TES_unique",0.143852966222368,0.3234492555925,FALSE
"DYRK2",1,0,1,"TES_unique",0.0607893264215254,0.767175825100171,FALSE
"DYSF",2,2,0,"TEAD1_unique;TES_unique",-1.5692624769664,0.000329159485368721,TRUE
"DZANK1",1,1,0,"TEAD1_unique",1.09673262055474,1.9911811488138e-12,TRUE
"DZIP1L",1,1,0,"TEAD1_unique",-2.18836012023524,2.12086037359585e-31,TRUE
"E2F3",1,1,0,"Shared_high",0.0524356211141436,0.80598223304574,FALSE
"E2F3-IT1",1,0,1,"TES_unique",-0.0536054333844295,0.938052974431055,FALSE
"E2F5",1,1,0,"TES_unique",-1.1080422776345,1.59562000048037e-10,TRUE
"E2F5-DT",3,0,3,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_equivalent",-1.4275234655778,0.0879169669529076,FALSE
"EBF1",4,0,4,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",-0.229267730068266,0.285388281453269,FALSE
"ECD",1,0,1,"TES_unique",-0.0919845814927761,0.706949928036226,FALSE
"ECE1",1,1,0,"TEAD1_unique",-0.765128660439095,3.38468122694985e-09,TRUE
"ECHDC1",3,2,1,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique",-1.98333362338152,2.06102383347187e-36,TRUE
"ECT2",1,1,0,"TEAD1_unique",-2.38348780336171,1.09166100751734e-41,TRUE
"ECT2L",1,0,1,"TES_unique",0.123422349674214,0.759754574374962,FALSE
"EDDM13",1,1,0,"TEAD1_unique",0.628320937353985,0.00327739433256443,TRUE
"EDEM3",1,0,1,"TEAD1_unique",0.679921427660962,3.45788089158596e-07,TRUE
"EDIL3-DT",1,0,1,"TES_unique",-2.5942862072647,7.57210201082809e-31,TRUE
"EDN1",3,1,2,"Shared_TEAD1_dominant;Shared_equivalent;TEAD1_unique",-3.80107746007738,2.55363384264774e-24,TRUE
"EDN2",1,0,1,"TEAD1_unique",1.78604577713829,0.13070114361172,FALSE
"EDNRA",2,0,2,"TEAD1_unique;TES_unique",-1.50017703417597,0.201590786768085,FALSE
"EDNRB",1,0,1,"TES_unique",-4.67875689618622,1.21170562900467e-70,TRUE
"EEA1",4,1,3,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",-0.882789796769268,7.45091067182431e-10,TRUE
"EEF1A1",1,0,1,"TEAD1_unique",0.231682047774749,0.324910471994609,FALSE
"EEF1AKMT1",1,0,1,"Shared_TES_dominant",-0.146690260282577,0.826927987341332,FALSE
"EEF1E1",1,0,1,"Shared_high",-0.0781782038138586,0.856899380468963,FALSE
"EEF2",1,1,0,"TEAD1_unique",-0.183600545159429,0.26926123643227,FALSE
"EEIG1",1,0,1,"TEAD1_unique",-0.117324103319256,0.512290062365476,FALSE
"EEPD1",1,1,0,"TEAD1_unique",0.950224906128805,8.9331029998002e-09,TRUE
"EFCAB11",2,0,2,"Shared_TEAD1_dominant;TEAD1_unique",0.54346704300675,0.0678790455009974,FALSE
"EFCAB13",1,0,1,"TEAD1_unique",-3.47855737617408,6.24113851539644e-62,TRUE
"EFCAB13-DT",1,1,0,"TEAD1_unique",-4.09683221992525,2.54077701879345e-42,TRUE
"EFCAB2",2,1,1,"Shared_TEAD1_dominant;TES_unique",1.07435354971688,2.94706371934838e-07,TRUE
"EFCAB5",1,0,1,"TEAD1_unique",2.97850698682224,7.20534675283076e-35,TRUE
"EFEMP1",3,1,2,"Shared_TEAD1_dominant;Shared_high;TEAD1_unique",-4.60616868483747,2.79526160908322e-112,TRUE
"EFHB",1,0,1,"Shared_high",0.616804646098005,0.504332151874979,FALSE
"EFHC1",2,1,1,"TEAD1_unique;TES_unique",0.135299717542231,0.450719342499882,FALSE
"EFHC2",1,1,0,"TES_unique",0.57096730251419,0.710985222108875,FALSE
"EFHD1",2,1,1,"Shared_high;TEAD1_unique",-2.11581081524711,1.8167334774452e-08,TRUE
"EFHD2",1,0,1,"TEAD1_unique",-0.867292813100317,3.82994316341385e-07,TRUE
"EFL1",2,1,1,"Shared_high;TEAD1_unique",-0.12526641150987,0.574469767824031,FALSE
