"gene_name","n_total_peaks","n_promoter_peaks","n_enhancer_peaks","categories","log2FoldChange","padj","is_DEG"
"ADRB1",2,0,2,"TEAD1_unique;TES_unique",5.11409786033243,1.22533559962528e-07,TRUE
"ADRB2",1,0,1,"TES_unique",2.9207667959994,7.66114351263883e-12,TRUE
"ADSS2",1,1,0,"TES_unique",-0.768865955851285,1.14004669992255e-05,TRUE
"ADTRP",2,1,1,"TEAD1_unique;TES_unique",-0.71252695861918,0.396540878024684,FALSE
"AEBP2",2,2,0,"Shared_TEAD1_dominant;TEAD1_unique",-0.820244566614359,1.58454629241301e-09,TRUE
"AFAP1",3,1,2,"Shared_TEAD1_dominant;Shared_equivalent;TEAD1_unique",-1.81009433983789,1.12095039647409e-47,TRUE
"AFAP1L1",1,0,1,"TEAD1_unique",-0.465874520923226,0.0678784291723411,FALSE
"AFAP1L2",1,1,0,"TEAD1_unique",1.78671909094073,8.41389150222663e-10,TRUE
"AFDN",1,1,0,"TES_unique",2.14031690053807,7.74797166535743e-81,TRUE
"AFF1",1,0,1,"TES_unique",0.970876690439569,9.50932333359329e-14,TRUE
"AFF3",2,0,2,"TEAD1_unique;TES_unique",-1.14741213160801,1.6178248125026e-07,TRUE
"AFG1L",2,2,0,"Shared_TES_dominant;TES_unique",0.464083424712353,0.0126473514877003,TRUE
"AFG3L2",1,0,1,"Shared_equivalent",0.400653251804357,0.00966148146740076,TRUE
"AFP",1,1,0,"TEAD1_unique",-2.77102616099374,0.00410228175155566,TRUE
"AGA",1,1,0,"TES_unique",-2.08805752616634,1.32150716604404e-15,TRUE
"AGA-DT",1,0,1,"Shared_TEAD1_dominant",-0.282228762764952,0.834088847970192,FALSE
"AGAP1",2,1,1,"TEAD1_unique;TES_unique",-0.799960388230785,3.94061606357805e-08,TRUE
"AGAP3",1,1,0,"TEAD1_unique",-0.0409547789337839,0.843336050842383,FALSE
"AGBL1",2,0,2,"Shared_TES_dominant;TES_unique",2.65453025914755,0.0212334488094066,TRUE
"AGFG1",1,0,1,"TES_unique",-0.316674167331506,0.0222543796107036,TRUE
"AGGF1",1,0,1,"TES_unique",-1.04858646949692,1.26284454188479e-09,TRUE
"AGK",2,1,1,"TEAD1_unique;TES_unique",0.497453633781634,0.000142435945403382,TRUE
"AGL",2,0,2,"Shared_TES_dominant;TES_unique",0.441233329434257,0.00281774141991318,TRUE
"AGO2",1,0,1,"TEAD1_unique",-0.325198027142468,0.0155917377058155,TRUE
"AGO3",1,0,1,"TES_unique",0.229057747128451,0.139740500629825,FALSE
"AGPAT1",1,1,0,"TEAD1_unique",0.591752301922863,0.000841448737005068,TRUE
"AGPAT4",2,2,0,"TEAD1_unique;TES_unique",0.0953412908181856,0.606521055284869,FALSE
"AGPAT5",1,0,1,"TEAD1_unique",2.08134772944861,6.84589321491438e-52,TRUE
"AGPS",2,0,2,"Shared_high;TES_unique",-1.85829404216926,3.21909942781431e-47,TRUE
"AGR2",2,0,2,"Shared_TEAD1_dominant;TES_unique",2.3354006519387,0.000603451352310477,TRUE
"AGR3",1,1,0,"TES_unique",1.92364015864746,0.205596123112826,FALSE
"AGTPBP1",2,2,0,"Shared_equivalent;TEAD1_unique",-0.64036680402082,2.89202450157085e-05,TRUE
"AGTR1",1,0,1,"TES_unique",-0.155236965260469,0.935284822494449,FALSE
"AHCY",1,1,0,"TEAD1_unique",-0.435519761571667,0.00926613167427795,TRUE
"AHCYL1",2,0,2,"TEAD1_unique;TES_unique",-0.26580492288809,0.117993628469758,FALSE
"AHCYL2",1,1,0,"Shared_TES_dominant",1.01392917624472,4.47870177303243e-15,TRUE
"AHDC1",1,0,1,"TEAD1_unique",-1.18301176046592,1.41359244010342e-16,TRUE
"AHI1",1,1,0,"TEAD1_unique",-1.93993348956422,8.31960133952194e-45,TRUE
"AHNAK",2,1,1,"TEAD1_unique;TES_unique",-1.41274950543148,4.62087342072988e-21,TRUE
"AHNAK2",1,1,0,"TEAD1_unique",-1.05278598412156,3.60069938912014e-12,TRUE
"AHR",1,0,1,"TES_unique",1.15618730316425,0.020817378849998,TRUE
"AHRR",1,0,1,"Shared_TEAD1_dominant",0.506490170272267,0.375017722143149,FALSE
"AIF1L",1,1,0,"TEAD1_unique",-2.87952414730563,1.04426471617053e-96,TRUE
"AIFM2",1,1,0,"TEAD1_unique",-1.21144299309467,6.80947964021391e-17,TRUE
"AIG1",2,0,2,"TEAD1_unique;TES_unique",-1.70813790919073,6.14540516097287e-25,TRUE
"AIM2",1,0,1,"TES_unique",3.01632264104002,5.34948989449301e-10,TRUE
"AJAP1",1,0,1,"TEAD1_unique",0.153455482885449,0.808476644411575,FALSE
"AJUBA",1,1,0,"TEAD1_unique",-3.30499069168193,2.31864857416459e-125,TRUE
"AK2",1,0,1,"TEAD1_unique",0.271809881969628,0.0904058737666771,FALSE
"AK3",1,1,0,"TEAD1_unique",-0.682547132465733,8.14229473281807e-05,TRUE
"AK4",2,0,2,"Shared_TES_dominant;TEAD1_unique",-1.77991758949482,2.13500316824713e-43,TRUE
"AK5",5,2,3,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_equivalent;TEAD1_unique;TES_unique",-0.642827822136603,0.0353006694777343,TRUE
"AK9",1,0,1,"Shared_TEAD1_dominant",0.299160891220082,0.190192834937487,FALSE
"AKAP10",1,1,0,"TEAD1_unique",0.104787709346081,0.557625974294065,FALSE
"AKAP12",1,0,1,"TES_unique",0.54251007564072,8.04004466650789e-05,TRUE
"AKAP13",5,1,4,"Shared_TES_dominant;Shared_equivalent;Shared_high;TEAD1_unique;TES_unique",0.290112168774081,0.0454484682574365,TRUE
"AKAP6",6,3,3,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_equivalent;Shared_high;TEAD1_unique;TES_unique",-1.29859898187805,4.30229828136103e-24,TRUE
"AKAP7",2,2,0,"TEAD1_unique;TES_unique",-1.56490677540225,4.63919905182042e-14,TRUE
"AKAP9",3,1,2,"Shared_TES_dominant;TEAD1_unique;TES_unique",-1.44734209796719,4.49714659993122e-29,TRUE
"AKIP1",1,0,1,"TEAD1_unique",0.255587720106137,0.377817627630515,FALSE
"AKIRIN2",1,0,1,"TEAD1_unique",-1.756776168316,1.55751751135379e-38,TRUE
"AKNAD1",1,1,0,"TEAD1_unique",1.75101174292229,1.78471597358417e-07,TRUE
"AKR1B1",1,1,0,"TEAD1_unique",-2.5676178015796,1.43420515182304e-41,TRUE
"AKR1B10",1,0,1,"TES_unique",0.236508582371598,0.596583086359574,FALSE
"AKR1B15",2,1,1,"TEAD1_unique;TES_unique",3.30424993762751,1.07374946932591e-10,TRUE
"AKR1C1",1,0,1,"TEAD1_unique",0.873504623350685,0.000180082207569228,TRUE
"AKR1C3",3,1,2,"Shared_TES_dominant;TEAD1_unique;TES_unique",-0.338231711089357,0.223285048151975,FALSE
"AKR1D1",1,1,0,"Shared_high",1.71267849294867,0.40775587665815,FALSE
"AKT3",3,2,1,"Shared_TES_dominant;TEAD1_unique;TES_unique",-0.0430909673714314,0.821695310626853,FALSE
"ALCAM",4,1,3,"Shared_TES_dominant;Shared_high;TEAD1_unique;TES_unique",-0.712397032830494,1.48175482226082e-05,TRUE
"ALDH1A1",2,1,1,"TEAD1_unique;TES_unique",-0.349338445149194,0.832214384897198,FALSE
"ALDH1A2",4,1,3,"Shared_TES_dominant;Shared_equivalent;Shared_high;TEAD1_unique",-0.823300851968744,0.0677406684237996,FALSE
"ALDH1L2",1,0,1,"TEAD1_unique",-1.79047502272446,5.45366456464896e-15,TRUE
"ALDH3B1",1,1,0,"TEAD1_unique",-2.04066129831443,5.48299755068858e-39,TRUE
"ALDH4A1",1,1,0,"TEAD1_unique",0.564204305190948,0.00163214542501705,TRUE
"ALDH6A1",1,0,1,"Shared_TES_dominant",1.34700630881917,5.27892358090554e-22,TRUE
"ALDH7A1",1,0,1,"TES_unique",-2.46666117912176,8.32383843991574e-63,TRUE
"ALDH8A1",2,0,2,"Shared_TEAD1_dominant;TEAD1_unique",0.0157963226552116,0.973844656573451,FALSE
"ALDH9A1",1,1,0,"TES_unique",-0.444189570008569,0.0278541958799332,TRUE
"ALG10B",1,1,0,"TES_unique",0.60593819601197,0.00158140699532439,TRUE
"ALG14",3,0,3,"Shared_equivalent;TEAD1_unique;TES_unique",0.111524453157518,0.705815012545099,FALSE
"ALG1L1P",1,0,1,"TEAD1_unique",0.111349410690568,0.968565716141978,FALSE
"ALG1L2",1,0,1,"TEAD1_unique",0.276644884731073,0.766740483596384,FALSE
"ALG9",1,0,1,"TEAD1_unique",-2.06692944308422,1.51254597613725e-27,TRUE
"ALK",3,0,3,"Shared_TES_dominant;TEAD1_unique;TES_unique",0.771471011279066,4.9274093662368e-06,TRUE
"ALKBH8",2,1,1,"Shared_TES_dominant;TEAD1_unique",1.55364306578844,3.07626621748249e-21,TRUE
"ALMS1",2,0,2,"TEAD1_unique;TES_unique",0.205320869448121,0.188112883656187,FALSE
"ALOX15",2,1,1,"TEAD1_unique;TES_unique",1.29614454654608,0.435508347707527,FALSE
"ALPK1",3,0,3,"Shared_TES_dominant;TEAD1_unique;TES_unique",-0.107421868063552,0.603729625155336,FALSE
"ALPK2",3,2,1,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_equivalent",-1.82054626719441,6.72892619319925e-36,TRUE
"ALPK3",1,0,1,"TES_unique",0.490537177689172,0.0164216774508841,TRUE
"ALPL",1,1,0,"TEAD1_unique",4.93475145938259,3.24897492896709e-09,TRUE
"ALS2",1,1,0,"TEAD1_unique",0.427299056989276,0.000819634164771495,TRUE
"AMACR",1,0,1,"TEAD1_unique",-0.149425081337287,0.878843718601618,FALSE
"AMBRA1",1,0,1,"TEAD1_unique",0.26898829852376,0.073437748291705,FALSE
"AMIGO2",3,2,1,"Shared_TEAD1_dominant;TEAD1_unique;TES_unique",-1.66134759785525,4.30986229577591e-13,TRUE
"AMMECR1",2,0,2,"TEAD1_unique;TES_unique",0.758174082654235,2.91072055525616e-08,TRUE
"AMMECR1L",1,1,0,"TEAD1_unique",0.0971130487110008,0.629620342425346,FALSE
"AMN1",1,0,1,"TES_unique",0.775220084403833,0.00689889463084036,TRUE
"AMOT",2,2,0,"TEAD1_unique;TES_unique",-2.34036490108262,2.13485616135174e-78,TRUE
"AMOTL1",3,1,2,"Shared_TEAD1_dominant;TEAD1_unique;TES_unique",-0.162695245684824,0.3655036046689,FALSE
"AMOTL2",3,3,0,"Shared_TEAD1_dominant;Shared_high;TEAD1_unique",-5.97202541163863,6.32982951204309e-301,TRUE
"AMPD3",1,1,0,"TES_unique",-0.786001524525436,0.0152425876317312,TRUE
"AMPH",1,0,1,"TEAD1_unique",-1.20707704128302,0.248780357918366,FALSE
"AMZ2P1",2,0,2,"Shared_TES_dominant;TEAD1_unique",0.0967285801921881,0.838554025569956,FALSE
"ANAPC1",1,1,0,"TEAD1_unique",-1.43979514561337,4.38874508106961e-23,TRUE
"ANAPC13",3,1,2,"Shared_equivalent;TEAD1_unique;TES_unique",0.297867440670774,0.305513100346968,FALSE
"ANAPC15",1,1,0,"TEAD1_unique",0.538220643879393,0.117049564831656,FALSE
"ANAPC16",1,1,0,"TEAD1_unique",-0.926476694243431,9.97305881705652e-08,TRUE
"ANAPC5",1,0,1,"TEAD1_unique",0.208846465479465,0.255124293440512,FALSE
"ANG",1,1,0,"TEAD1_unique",-0.874588346703547,0.234107938952618,FALSE
"ANGPT1",3,2,1,"Shared_TEAD1_dominant;Shared_TES_dominant;TES_unique",-2.08196143987336,4.62469190763532e-19,TRUE
"ANGPT2",1,0,1,"TEAD1_unique",0.864063084893916,9.29297296026783e-05,TRUE
