"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection"
"GNF2_H2AFX",2.04643322089197e-10,1.32135752372823e-08,0.826657301178302,-0.811549374036258,-2.55201316148145,31,"DLGAP5;RRM2;KIF18B;CDCA8;BIRC5;SHCBP1;ZWINT;CDC20;ASPM;AURKA;CDK1;FOXM1;CCNA2;NUSAP1;PTTG1;TYMS;CENPE;HMGB2;TMPO;CCNB2","14_C2_Curated"
"GNF2_CKS1B",1.0457084420455e-08,5.25692572508301e-07,0.747739663149885,-0.745190450058622,-2.43976101566718,37,"CDCA8;UBE2C;KIF20A;AURKB;BIRC5;CDC20;NDC80;ASPM;TPX2;ESPL1;CCNA2;BUB1;RAN;CKS1B;CENPE;MELK;NCAPD2;KIF2C;MCM6","14_C2_Curated"
"GNF2_RFC3",4.35359800118747e-08,2.084396104242e-06,0.719512826338911,-0.723213923321849,-2.41194545278465,41,"UBE2C;BIRC5;TOP2A;NDC80;ASPM;RAD51AP1;CDK1;FOXM1;HMMR;CCNA2;PCLAF;RAN;CKS1B;GINS2;CENPE;CKS2;NCAPD2;MCM6","14_C2_Curated"
"MORF_BUB1",7.21177636381559e-08,3.33924224003514e-06,0.704975715167238,-0.649769898766942,-2.27189442865094,52,"DLGAP5;CCNB1;ZWINT;NDC80;TPX2;FOXM1;HMMR;ESPL1;PLK1;BUB1B;SPAG5;BUB1;KIF14;KIF2C;MCM6;TYRO3;XPOT;TFDP1;H2AZ1;MRPS18B;CYCS;SRSF1","14_C2_Curated"
"GNF2_MCM5",1.30621775066824e-07,5.89305162128402e-06,0.690132458796796,-0.618107541405205,-2.22648558024206,60,"CDCA8;TOP2A;ZWINT;NDC80;DTL;GINS1;LMNB1;TYMS;GINS2;HMGB2;POLA2;FEN1;DUT;RBMX;SRI;CENPM;DEK;SFPQ;SNRPG;MCM4;VRK1;SRSF1;SKIC8;MCM7;HNRNPU;EXOSC8;RRM1;EED;MCM3;ANP32B","14_C2_Curated"
"MORF_BUB1B",2.16081063124041e-07,9.62518052067721e-06,0.690132458796796,-0.613193132967406,-2.23271947752583,65,"TTK;TOP2A;ZWINT;NDC80;TPX2;CDK1;HMMR;ESPL1;PLK1;CCNA2;BUB1B;PLK4;BUB1;CENPA;PRKDC;KIF20B;RAD54L;KIF14;MCM6;TYRO3;TBXA2R;SHMT2;TRIP13;TFDP1;MRPS18B","14_C2_Curated"
"GNF2_PTX3",1.34802109342777e-06,5.54817102663428e-05,0.643551836150722,-0.693641811445737,-2.23497430474257,34,"CCN2;EFEMP1;CDH11;PTX3;IL6;COL5A2;LOXL1;FBN1;CCL2;LOXL2;COL1A2;PLOD2;COL5A1;FSTL1;FAP;LOX;PXDN","14_C2_Curated"
"GNF2_CDH11",2.67413765007997e-06,0.00010816425736358,0.627256739718528,-0.750042290557941,-2.23449941075262,25,"CDH11;PTX3;COL5A2;LOXL1;FBN1;LOXL2;FN1;COL1A2;COL5A1;FSTL1;RAI14;PXDN","14_C2_Curated"
"MORF_RFC4",8.86380091764164e-06,0.000331826759884904,0.593325476396405,-0.426773572677266,-1.78123779366831,151,"TOP2A;ZWINT;NDC80;HMMR;ESPL1;CCNA2;BUB1B;SPAG5;TYMS;BUB1;PRKDC;EPRS1;RAD54L;AKR7A2;KIF14;DUT;MCM6;CAD;XPOT;SHMT2;TRIP13;DEK;MTX2;TFDP1;H2AZ1;MRPS18B;CYCS;CHAF1A;SRSF1;TGDS;NSD2;PPT1;UBE2S;IMMT;SNRNP200;HNRNPU;KHDRBS1;NONO;IARS1;RRM1;RFC3;MCM3;BAZ1B","14_C2_Curated"
"MORF_BUB3",0.000111055678957614,0.00344321527975193,0.538434096309916,-0.340072130569556,-1.51471904558717,276,"AURKB;ZWINT;NDUFS5;ESPL1;PCLAF;PRPF8;RANGAP1;TYMS;BUB1;RAN;PRKDC;EPRS1;POLA2;TXNL4A;CDK2;AKR7A2;FEN1;DUT;MCM6;RBMX;CAD;XPOT;CAPZA1;SLC1A5;H2AZ2;BRD8;DEK;TFDP1;NRDC;IMPDH1;H2AZ1;MRPS18B;CYCS;CHAF1A;RNPEP;SRSF1;LMNB2;SRSF3;NSD2;MCM7;LSM4;XRCC5;PPT1;UBE2S;BAG6;IMMT;SNRNP200;HNRNPU;GMPS;KHDRBS1;CYC1;HNRNPD;MDH1;NDUFS4;NONO;HAX1;IARS1;RRM1;ACLY;EIF1AX;MCM3;HNRNPUL1;BAZ1B;ANP32B;TRIM28;SF3A2;IFRD1;SLC25A3;PCNA;SNRPA;DOCK3;UQCRC1;SRRM1;GNG5;MAP2K2;HNRNPM;HNRNPR;DARS1;CCT2;ATP5F1D;VDAC1;IDH3G;PSMB2;GLO1;HDDC2;RUVBL2;GANAB;GOT2;FUS;FH;PMEL;SERP1;XRCC6;CBX3;SET","14_C2_Curated"
"MORF_ESPL1",0.000121548888857241,0.00368733224041924,0.538434096309916,-0.523778766061622,-1.89112713059894,61,"AURKB;KIFC1;ZWINT;FOXM1;ESPL1;PLK1;BUB1B;TYMS;BUB1;POLA2;FEN1;MCM6;TFDP1;H2AZ1;CYCS;LMNB2;NSD2","14_C2_Curated"
"MORF_PPP1CC",0.000356180464004104,0.00935372427485403,0.49849310876659,-0.374397654676375,-1.57599011009921,164,"KIFC1;ZWINT;ABCB7;ESPL1;PTTG1;PRPF8;TYMS;BUB1;PRKDC;EPRS1;AKR7A2;AASDHPPT;DUT;MCM6;CBR4;ASXL1;XPOT;SHMT2;RO60;TFDP1;H2AZ1;CHAF1A;SRSF1;LMNB2;TGDS;NSD2;XRCC5;MDC1;PPT1;UBE2S;IMMT;SNRNP200;HNRNPU;KHDRBS1;HNRNPD;NONO;IARS1;RRM1;LBR;EIF1AX;MCM3;BAZ1B;IFRD1;MYCBP2;SNRPA;TRA2B;UQCRC1;SEC63;SRRM1;GNG5;HNRNPR;ELOVL5;VDAC1;HDDC2;RUVBL2;GOT2;IPO5;FH;PMEL;NNT;RAD23A;DCTD;XPO7","14_C2_Curated"
"GNF2_HPN",0.000795165674948161,0.0190352925860039,0.477270815362862,0.479015245778348,1.64482038366073,99,"APOA1;PCK1;FTCD;RBP4;APOH;ALDH1L1;HABP2;AGXT;ASS1;SLC22A7;SERPINF2;CYP4F12;ORM2;SERPING1;RDH16;C8G;HSD17B6;AMBP;RARRES2;QPRT;TMEM176B;SLC22A1;TMEM176A;HPN;PEMT;ABCC6;SDS;TMPRSS6;CYP2C9;SERPINC1;ATF5;HGFAC;HMGCS2;DCXR;F10;TAT","14_C2_Curated"
"MORF_RRM1",0.000804737670365857,0.0191342693379558,0.477270815362862,-0.418504183669073,-1.64964431640583,101,"DLGAP5;ZWINT;ESPL1;SPAG5;TYMS;BUB1;PRKDC;RAD54L;TXNL4A;FEN1;DUT;MCM6;CENPF;TFDP1;H2AZ1;CHAF1A;SRSF1;LMNB2;NSD2;XRCC5;IMMT;SNRNP200;HNRNPU;KHDRBS1;HNRNPD;NONO;IARS1;RRM1;LBR;MCM3;BAZ1B","14_C2_Curated"
"GNF2_HAT1",0.00115794349488597,0.0257898934082514,0.45505986738723,-0.511047051470105,-1.76380153508333,49,"NDC80;PRPS1;NUSAP1;HMGB2;FEN1;RBMX;SRI;CENPF;DEK;SNRPG;VRK1;SRSF1;SRSF3;NUP50;MRPL35;EXOSC8;RRM1;MCM3;ANP32B;USP14","14_C2_Curated"
"MORF_DNMT1",0.00156989101571658,0.033583261302776,0.45505986738723,-0.385016273384487,-1.55145194334973,117,"ZWINT;ESPL1;BUB1B;SPAG5;PRPF8;TYMS;PRKDC;POLA2;RAD54L;TXNL4A;DUT;MCM6;TFDP1;H2AZ1;CHAF1A;SRSF1;LMNB2;NSD2;XRCC5;IMMT;SNRNP200;HNRNPU;KHDRBS1;HNRNPD;NONO;IARS1;RRM1;LBR;EIF1AX;MCM3;BAZ1B","14_C2_Curated"
"GNF2_PA2G4",0.0018326299295901,0.0383870519180213,0.45505986738723,-0.438325560620253,-1.65629164371012,79,"NDC80;BUB1B;RAN;CKS1B;MELK;CAD;CENPM;SNRPG;H2AZ1;MCM4;MTHFD2;CCT6A;MCM7;LSM4;XRCC5;MRPL35;GMPS;GMNN;IARS1;MRPL22;RRM1;MCM3;NUP107;MLH1;PCNA;CSE1L;SNRPA;ETFA;CCT2;MCUR1;FH;SNRPD1;NDUFS1;RANBP1;BUB3;HNRNPA2B1;ABCE1;MRPL3;EIF2S1;LSM5;U2SURP;OLA1;CHCHD3","14_C2_Curated"
"GNF2_MSH2",0.00216032395333027,0.0444571929343229,0.431707695803346,-0.590404950975734,-1.81248817584252,28,"TOP2A;NDC80;RAD51AP1;PCLAF;GINS1;FEN1;MCM6;FANCI;MCM7;RRM1;MCM3;MLH1;PCNA;MSH6;SUPT16H","14_C2_Curated"
"MORF_PRKDC",0.00222221392891185,0.0454649466037256,0.431707695803346,-0.336400539557514,-1.43883124190476,189,"ZWINT;PGM1;BUB1B;PRPF8;TYMS;PRKDC;EPRS1;PKMYT1;RAD54L;TXNL4A;CDK2;AKR7A2;TFAP4;PSMA1;DUT;MCM6;CAD;BMS1;CAPZA1;SHMT2;BRD8;TRIP13;SCARB1;TFDP1;MRPS18B;CHAF1A;RNPEP;NSD2;VARS1;SEPTIN7;XRCC5;CDC7;IMMT;SNRNP200;HNRNPU;KHDRBS1;HNRNPD;NONO;IARS1;RRM1;POLR2A;NAGA;LBR;EIF1AX;MCM3;BAZ1B","14_C2_Curated"
"GNF2_TST",0.00247083047357584,0.0494025706620079,0.34452128726268,0.485961103986456,1.63417209652566,85,"APOA1;PCK1;FTCD;RBP4;ALDH1L1;HABP2;AGXT;SLC22A7;SERPINF2;ORM2;SERPING1;RDH16;TFR2;C8G;HSD17B6;AMBP;RARRES2;QPRT;TMEM176B;SLC22A1;TMEM176A;HPN;ABCC6;SDS;CYP2C9;SERPINC1;ATF5;HGFAC;HMGCS2;DCXR;F10;TAT;SARDH;IGFALS;SLC27A5","14_C2_Curated"
