"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GO:0051304",2.91779929928252e-11,1.54961668240077e-08,0.851339057116899,-0.64405317144916,-2.45191805727734,82,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;NCAPG;PLK1;BUB1B;BUB1;NCAPG2;HASPIN;SMARCAD1;INCENP;NCAPD2;SPDL1;CENPF;CENATAC;PLSCR1;TRIP13;MAD2L1"
"GO:0008608",5.66281283752234e-11,2.45682550572573e-08,0.851339057116899,-0.717312340147969,-2.51830000093688,54,"CDCA8;AURKB;BIRC5;SPC25;SPC24;CCNB1;NDC80;SKA3;CDK1;KNL1;NUF2;NEK2;SGO1;ECT2;SPAG5;DSN1;SKA2;CENPE;KNSTRN;INCENP;CDT1;KIF2C"
"GO:0010965",5.88763387198909e-11,2.45682550572573e-08,0.839088935621274,-0.696009056878211,-2.49993768116345,61,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;PLK1;BUB1B;BUB1;HASPIN"
"GO:0051306",5.81331949101131e-11,2.45682550572573e-08,0.851339057116899,-0.685271621650693,-2.49152503120488,64,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;PLK1;BUB1B;BUB1;HASPIN"
"GO:0050000",7.77101707381456e-11,3.02655211634831e-08,0.839088935621274,-0.580286038491198,-2.33612875775977,118,"DLGAP5;CDCA8;TTK;AURKB;BIRC5;KIFC1;SPC25;SPC24;CCNB1;ZWINT;NDC80;SKA3;CDK1;KNL1;CDCA5;NUF2;NEK2;SGO1;ECT2;SPAG5;KIF18A;DSN1;FAM83D;SKA2;KIF22;CENPE;KNSTRN;INCENP;KIF14;CDT1;SPDL1;KIF2C"
"GO:0071459",8.34888641341364e-11,3.04838715169765e-08,0.839088935621274,-0.772913367194677,-2.54055058174045,39,"H2AC4;H4C1;H4C5;H4C3;H4C4;H2AC8;TTK;AURKB;H4C2;H4C16;H4C8;CDK1;KNL1;BUB1B;H4C6;CENPA;HASPIN;H4C14;H4C9;SPDL1;H4C15"
"GO:0007080",9.74046634703716e-11,3.34728261172889e-08,0.839088935621274,-0.69131542678855,-2.48307901731903,61,"CDCA8;TTK;AURKB;BIRC5;KIFC1;CCNB1;NDC80;SKA3;CDK1;CDCA5;NUF2;KIF18A;SKA2;KIF22;CENPE;INCENP;KIF14;CDT1;SPDL1;KIF2C"
"GO:1902850",1.90160628752904e-10,6.17176885096925e-08,0.826657301178302,-0.523941871803017,-2.19936354038725,161,"DLGAP5;CDCA8;TTK;AURKB;BIRC5;KIFC1;SPC25;CCNB1;MYBL2;CDC20;NDC80;KIF23;TPX2;AURKA;CDK1;ESPL1;NUF2;NEK2;PLK1;KIF15;NUSAP1;CENPJ;GNAI1;RIPOR2;WDR62;CENPA;RAN;UHRF1;CENPE;PLK2;BORA;MZT1;GPSM2;INCENP;TACC3;SPDL1;PRC1;TUBG1;PKD1;DYNC1H1;NEK6;RACGAP1;CEP126;HSPA1A;CENPH;MAD2L1"
"GO:0051303",2.0419420451513e-10,6.27843443567046e-08,0.826657301178302,-0.586521111587973,-2.34283998968349,110,"CDCA8;TTK;AURKB;BIRC5;KIFC1;SPC25;SPC24;CCNB1;ZWINT;NDC80;SKA3;CDK1;KNL1;CDCA5;NUF2;NEK2;SGO1;ECT2;SPAG5;KIF18A;DSN1;FAM83D;SKA2;KIF22;CENPE;KNSTRN;INCENP;KIF14;CDT1;SPDL1;KIF2C;CENPF;DYNC1H1;RACGAP1"
"GO:1905818",2.36593836269411e-10,6.9109059574295e-08,0.814035837847908,-0.650697543804422,-2.43506215967516,75,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;NCAPG;PLK1;BUB1B;BUB1;NCAPG2;HASPIN;INCENP;NCAPD2;SPDL1"
"GO:1901990",5.05691311382372e-10,1.40678506718848e-07,0.801215574617779,-0.419862488761638,-1.89790048093468,326,"DDR2;DLGAP5;RRM2;CDCA8;UBE2C;CDC25C;GTSE1;TTK;AURKB;BIRC5;SPC25;SPC24;E2F7;CCNB1;ZWINT;CDC20;NDC80;DACT1;CCL2;AURKA;SKA3;CDK1;KNL1;ESPL1;CDCA5;NUF2;PLK1;DTL;CDK6;ANXA1;CENPJ;BUB1B;ANLN;PKD2;BUB1;PLCB1;HASPIN;NBN;CDC25A;PRKDC;DBF4B;CENPE;PLK2;KCNH5;RNASEH2B;MIR221;MIR222;TICRR;PKMYT1;BRCA1;CDK2;TFAP4;EGFR;BARD1;INCENP;KIF14;CHEK1;JADE1;CDC6;SPDL1;CDKN2D;CCNH;PRMT2;KANK2;RIOK2;CENPF;ERCC2;PKD1;NEK6;RAD50;SLFN11;PBX1;BCL7A;ACTB;TRIP13;MAD2L1;BABAM2;CCND1;TFDP1;CDC25B;DPF2;RDX;EZH2;FBXO5;RFWD3;PTPN6;RPS27L;DLG1;ETAA1"
"GO:0050911",6.26992874695191e-10,1.66495107907696e-07,0.801215574617779,0.708756429998393,2.2837188484259,65,"OR2A7;OR2A1;OR14J1;OR2J1;OR2A42;OR2J3;OR2J2;OR51B5;OR2AG2;OR51I1;OR51M1;OR12D2;OR5V1;OR2B3;OR1L1;OR11H7;CNGB1;OR11H4;OR13D1;OR6V1;OR1L3;OR1L8;OR2A4;OR2B6;OR2B2;OR1L4;OR6X1;OR2W6P;OR1L6;OR5C1;OR9A2;OR2AT4;OR2C1;OR52I2;OR1K1;OR51I2;OR52I1"
"GO:0007052",6.65497287488484e-10,1.69036311022075e-07,0.801215574617779,-0.545561157392395,-2.23386398587942,131,"DLGAP5;CDCA8;TTK;AURKB;BIRC5;KIFC1;SPC25;CCNB1;MYBL2;CDC20;NDC80;KIF23;TPX2;AURKA;NUF2;NEK2;PLK1;KIF15;CENPJ;GNAI1;RIPOR2;WDR62;RAN;UHRF1;CENPE;PLK2;BORA;MZT1;GPSM2;INCENP;TACC3;PRC1;TUBG1;PKD1;DYNC1H1;NEK6;RACGAP1;CEP126;HSPA1A;CENPH"
"GO:0000075",1.24177425253569e-09,3.02268549304729e-07,0.788186810800237,-0.474075129227858,-2.034669090554,199,"CDCA8;GTSE1;TTK;BRCA2;AURKB;BIRC5;SPC25;SPC24;E2F7;CCNB1;ZWINT;CDC20;NDC80;SKA3;CDK1;KNL1;FANCD2;NUF2;PLK1;DTL;BUB1B;FBXO4;UFL1;CDC45;BUB1;HASPIN;NBN;PRKDC;PLK2;RNASEH2B;TICRR;BRCA1;CDK2;BARD1;INCENP;CHEK1;CDC6;STK33;CDT1;SPDL1;RHNO1;BRIP1;WDR76;CENPF;RAD50;RAD51;TRIP13;H2AX;MAD2L1;BABAM2;CCND1;EIF2AK4;RFWD3;CRY1;RPS27L;ETAA1;MAD1L1;PABIR1;APC;XPC"
"GO:0031577",1.39373518640509e-09,3.2568803835914e-07,0.788186810800237,-0.707912606684582,-2.4484250596258,49,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF"
"GO:0045109",2.19503467881789e-09,4.93207407448235e-07,0.774939030136436,0.741150362735091,2.26935361795849,48,"KRT14;KRT17;KRT6A;KRT9;KRT35;KRT16;KRT75;KRT32;KRT19;KRT36;KRT5;KRT37;KRT38;KRT15;KRT31;KRT39;KRT13;DES"
"GO:0033047",3.79792330665499e-09,7.69265761355046e-07,0.761460801445585,-0.675404022138838,-2.39981965072209,57,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;CDK1;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN"
"GO:0034502",3.81867632305654e-09,7.69265761355046e-07,0.761460801445585,-0.54514870715129,-2.21315814798296,123,"H2AC4;H4C1;H1-5;H4C5;H4C3;H4C4;H2AC8;TTK;BRCA2;AURKB;H4C2;H4C16;H4C8;CDK1;KNL1;PLK1;BUB1B;H4C6;CENPA;HASPIN;NBN;H4C14;H4C9;APLF;SPDL1;SLF2;RHNO1;MMS22L;H4C15;MACROH2A2;FAM47E;ESCO2;H2AX;EZH2;SMC5;VRK1;GNL3L;ESR1;CCT6A;RB1;XRCC5;PML;MDC1"
"GO:0051983",3.8181294692484e-09,7.69265761355046e-07,0.761460801445585,-0.529042909335266,-2.1623109394806,130,"DLGAP5;CDCA8;UBE2C;TTK;MKI67;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;CDK1;KNL1;ESPL1;NUF2;NCAPG;PLK1;BUB1B;BUB1;NCAPG2;CDCA2;HASPIN;CENPE;INCENP;TACC3;CDC6;NCAPD2;SPDL1;KIF2C;ANAPC1;RIOK2;CENPF;NEK6;PLSCR1;BCL7A;ACTB;TRIP13;MAD2L1;DPF2;FBXO5;SMC5;MAD1L1;APC;RB1;PHF10;XRCC3"
"GO:0045103",4.22353682060782e-09,8.2246340353303e-07,0.761460801445585,0.681885103885192,2.22071371127629,69,"KRT14;KRT17;KRT6A;KRT9;KRT35;KRT16;KRT75;KRT32;KRT19;KRT36;KRT5;KRT37;KRT38;KRT15;KRT31;KRT39;KRT13;DES;KRT85;KRT20;SHH;ATP8A2;TCHH;PPL;KRT12;FAM83H;NEFM;KRT23"
"GO:0045104",5.20497694956167e-09,9.80886301269009e-07,0.761460801445585,0.687356711148059,2.23452521637042,68,"KRT14;KRT17;KRT6A;KRT9;KRT35;KRT16;KRT75;KRT32;KRT19;KRT36;KRT5;KRT37;KRT38;KRT15;KRT31;KRT39;KRT13;DES;KRT85;KRT20;SHH;ATP8A2;TCHH;PPL;KRT12;FAM83H;NEFM;KRT23"
"GO:0007094",6.2962651684699e-09,1.05093660326289e-06,0.761460801445585,-0.708816445695423,-2.44054943976416,48,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF"
"GO:0050907",5.94770183614237e-09,1.05093660326289e-06,0.761460801445585,0.625012150312802,2.1397897358326,98,"OR2A7;OR2A1;OR14J1;OR2J1;OR2A42;OR2J3;OR2J2;OR51B5;OR2AG2;OR51I1;OR51M1;RTP2;OR12D2;OR5V1;TAS2R39;PLCB2;OR2B3;OR1L1;OR11H7;CNGB1;OR11H4;OR13D1;OR6V1;OR1L3;OR1L8;OR2A4;OR2B6;OR2B2;OR1L4;OR6X1;OR2W6P;PIP;OR1L6;OR5C1;TAS1R1;OR9A2;OR2AT4;OR2C1;OR52I2;GNAT1;OR1K1;OR51I2;OR52I1;TAS1R2;OR5B12;TRPV1;OR13J1;OR1B1;OR9A4;PIGR;TAS2R40;TAS2R9;OR52K1"
"GO:0071173",6.2962651684699e-09,1.05093660326289e-06,0.761460801445585,-0.708816445695423,-2.44054943976416,48,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF"
"GO:0071174",6.2962651684699e-09,1.05093660326289e-06,0.761460801445585,-0.708816445695423,-2.44054943976416,48,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF"
"GO:2001251",6.70291577790681e-09,1.08773427707032e-06,0.761460801445585,-0.577136328081439,-2.26249631001087,98,"CDCA8;TTK;AURKB;BIRC5;SPC25;TOP2A;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;PLK1;PIF1;BUB1B;BUB1;HASPIN;NBN;INCENP;XRCC1;SPDL1;CENPF;RAD50;TRIP13;MAD2L1;STN1;FBXO5;MAD1L1;APC;GNL3L"
"GO:0010948",1.07304902013749e-08,1.41669343403761e-06,0.747739663149885,-0.408340682442539,-1.82711807278104,296,"CDCA8;GTSE1;TTK;BRCA2;AURKB;BIRC5;SPC25;SPC24;E2F7;CCNB1;ZWINT;CDC20;NDC80;DACT1;TMSB4X;CCL2;SKA3;CDK1;KNL1;ESPL1;FANCD2;NUF2;NEK2;E2F8;PLK1;DTL;BUB1B;FBXO4;PKD2;UFL1;CDC45;BUB1;HASPIN;NBN;PRKDC;PLK2;RNASEH2B;TICRR;PKMYT1;BRCA1;CDK2;BARD1;INCENP;MDM1;CHEK1;JADE1;CDC6;STK33;CDT1;SPDL1;TOM1L1;RHNO1;BRIP1;CDKN2D;PRMT2;KANK2;WDR76;CENPF;RBM14;RAD50;SLFN11;CENATAC;RAD51;TRIP13;H2AX;MAD2L1;BABAM2;CCND1;EIF2AK4;LIF;EZH2;FBXO5;RFWD3;CRY1;RPS27L;DLG1;ETAA1;MAD1L1;PABIR1;APC;CCNF;XPC;MYO16;GPR132;RB1;APBB2"
"GO:0030071",1.07672509209377e-08,1.41669343403761e-06,0.747739663149885,-0.575470245574478,-2.22870094361891,92,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;CENPE;INCENP;CDC6;SPDL1;RIOK2;CENPF;NEK6;BCL7A;ACTB;TRIP13;MAD2L1;DPF2;FBXO5;MAD1L1;APC;RB1;PHF10;XRCC3"
"GO:0033046",1.1397567853435e-08,1.41669343403761e-06,0.747739663149885,-0.693374344813911,-2.40223905557193,50,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF;TRIP13;MAD2L1;FBXO5;MAD1L1;APC"
"GO:0033048",1.1397567853435e-08,1.41669343403761e-06,0.747739663149885,-0.693374344813911,-2.40223905557193,50,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF;TRIP13;MAD2L1;FBXO5;MAD1L1;APC"
"GO:0045841",1.1397567853435e-08,1.41669343403761e-06,0.747739663149885,-0.693374344813911,-2.40223905557193,50,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF;TRIP13;MAD2L1;FBXO5;MAD1L1;APC"
"GO:0051985",9.53534850101321e-09,1.41669343403761e-06,0.747739663149885,-0.691078765023794,-2.40838007973078,52,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF;TRIP13;MAD2L1;FBXO5;MAD1L1;APC"
"GO:0071168",9.93427113068943e-09,1.41669343403761e-06,0.747739663149885,-0.667828041582477,-2.38183037986941,58,"H2AC4;H4C1;H1-5;H4C5;H4C3;H4C4;H2AC8;H4C2;H4C16;H4C8;PLK1;H4C6;CENPA;H4C14;H4C9;APLF;MMS22L;H4C15;MACROH2A2;FAM47E;ESCO2"
"GO:1901988",9.84846638252306e-09,1.41669343403761e-06,0.747739663149885,-0.427810021801347,-1.8850393865839,257,"CDCA8;GTSE1;TTK;BRCA2;AURKB;BIRC5;SPC25;SPC24;E2F7;CCNB1;ZWINT;CDC20;NDC80;DACT1;TMSB4X;CCL2;SKA3;CDK1;KNL1;FANCD2;NUF2;PLK1;DTL;BUB1B;FBXO4;PKD2;UFL1;CDC45;BUB1;HASPIN;NBN;PRKDC;PLK2;RNASEH2B;TICRR;PKMYT1;BRCA1;CDK2;BARD1;INCENP;CHEK1;JADE1;CDC6;STK33;CDT1;SPDL1;RHNO1;BRIP1;CDKN2D;PRMT2;KANK2;WDR76;CENPF;RAD50;SLFN11;RAD51;TRIP13;H2AX;MAD2L1;BABAM2;CCND1;EIF2AK4;EZH2;FBXO5;RFWD3;CRY1;RPS27L;DLG1;ETAA1;MAD1L1;PABIR1;APC;XPC;MYO16;GPR132;RB1;APBB2;XRCC3;ZFP36L2;PML;MDC1;EME1;TIPIN"
"GO:1902100",1.06542196643032e-08,1.41669343403761e-06,0.747739663149885,-0.692426178762198,-2.41004943348947,51,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF;TRIP13;MAD2L1;FBXO5;MAD1L1;APC"
"GO:1905819",1.06542196643032e-08,1.41669343403761e-06,0.747739663149885,-0.692426178762198,-2.41004943348947,51,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF;TRIP13;MAD2L1;FBXO5;MAD1L1;APC"
"GO:2000816",1.1397567853435e-08,1.41669343403761e-06,0.747739663149885,-0.693374344813911,-2.40223905557193,50,"CDCA8;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;INCENP;SPDL1;CENPF;TRIP13;MAD2L1;FBXO5;MAD1L1;APC"
"GO:0033045",1.78029401232526e-08,2.16676617083421e-06,0.73376198835648,-0.545746718951205,-2.16626949659771,106,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;CDK1;KNL1;ESPL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;CENPE;INCENP;TACC3;CDC6;SPDL1;ANAPC1;RIOK2;CENPF;NEK6;BCL7A;ACTB;TRIP13;MAD2L1;DPF2;FBXO5"
"GO:0007091",1.91426149957572e-08,2.26160456502835e-06,0.73376198835648,-0.576492657773868,-2.24955061049651,96,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;CENPE;INCENP;TACC3;CDC6;SPDL1;ANAPC1;RIOK2;CENPF;NEK6;BCL7A;ACTB;TRIP13;MAD2L1;DPF2;FBXO5;MAD1L1;APC;RB1;PHF10;XRCC3"
"GO:0032200",1.93564238704926e-08,2.26160456502835e-06,0.73376198835648,-0.466294063273606,-1.98444625238968,186,"H3C3;H3C7;H3C2;H4C1;H4C5;H3C11;H3C8;H4C3;H4C4;H3C1;BRCA2;AURKB;H4C2;H4C16;H4C8;H3C10;NEK2;PIF1;EXO1;FBXO4;H4C6;NBN;PRKDC;H4C14;NAF1;H4C9;CDK2;FEN1;XRCC1;SLF2"
"GO:0007093",4.20354300442265e-08,4.81511730036021e-06,0.719512826338911,-0.490678876347872,-2.0343013245588,148,"CDCA8;GTSE1;TTK;AURKB;BIRC5;SPC25;SPC24;E2F7;CCNB1;ZWINT;CDC20;NDC80;SKA3;CDK1;KNL1;FANCD2;NUF2;PLK1;DTL;BUB1B;BUB1;HASPIN;NBN;PRKDC;PLK2;TICRR;BRCA1;CDK2;BARD1;INCENP;CHEK1;CDC6;STK33;SPDL1"
"GO:0044784",4.34720615202699e-08,4.88391891156571e-06,0.719512826338911,-0.555536237928239,-2.17781939419451,98,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;PLK1;BUB1B;BUB1;HASPIN;CENPE;INCENP;TACC3;CDC6;SPDL1;ANAPC1;RIOK2;CENPF;NEK6;BCL7A;ACTB;TRIP13;MAD2L1;DPF2;FBXO5;MAD1L1;APC;RB1;PHF10;XRCC3"
