"TF","n_targets_total","n_targets_in_DEGs","p_value_all","odds_ratio_all","n_targets_up","p_value_up","n_targets_down","p_value_down","TF_log2FC","TF_padj","padj_all","padj_up","padj_down","is_significant","direction_bias","primary_category","is_direct_target","is_TES_TEAD1_target"
"ZNF768",1365,603,1.26449199895903e-28,1.94658298295678,297,8.65666700650728e-10,306,8.31923634783329e-14,0.584069874136501,0.00215722231601205,1.28394572201994e-27,7.14175028036851e-09,6.45964234067055e-13,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF274",1134,474,7.31635961236501e-28,2.12240139307189,217,1.78940354611687e-06,257,1.09469874473802e-17,0.97048628339624,1.93813264317505e-10,6.89828192022987e-27,5.49305274621924e-06,2.06428906150598e-16,TRUE,"Both","TES_unique",TRUE,TRUE
"NFE2L1",1915,838,1.32274325329086e-27,1.72107179007964,417,6.99570304380689e-10,421,3.96945892507409e-13,1.01320096064382,3.00840518943645e-13,1.16401406289596e-26,6.59594858416078e-09,2.91093654505433e-12,TRUE,"Both","Unbound",FALSE,FALSE
"ZBTB12",1316,624,1.62624636974764e-27,1.89161244443581,340,2.16552430344738e-16,284,3.70069718757618e-07,0.606521269838265,0.00615201820403072,1.34165325504181e-26,5.71698416110108e-15,1.1914439725855e-06,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF618",1491,635,2.95186536063265e-26,1.84624677375511,300,6.91719606869653e-07,335,7.35053481470128e-16,0.53164963989821,0.000191702463505167,2.29203663296182e-25,2.40281547649458e-06,9.70270595540568e-15,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF423",1077,512,3.37411164152694e-26,1.99741797919457,236,3.48984898016864e-06,276,9.02441154014141e-17,2.76221945320732,9.66507424695469e-05,2.47434853711976e-25,9.80127798685659e-06,1.48902790412333e-15,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF391",968,476,4.669700708201e-26,2.05284799335583,236,2.11664202020672e-09,240,4.57448909818337e-12,-0.467302510898659,0.0351752431332775,3.24421312359228e-25,1.39698373333643e-08,2.87539314742954e-11,TRUE,"Both","Unbound",FALSE,FALSE
"KLF7",939,462,9.51511937074384e-25,2.03020846228419,232,1.35706119252797e-09,230,7.7483734257932e-11,-1.50886298532762,9.00459162612508e-32,6.27997878469093e-24,9.95178207853844e-09,4.26160538418626e-10,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"ZNF766",1229,552,7.68900925861962e-24,1.86756383353258,310,1.15445590165666e-16,242,5.63181581891666e-05,0.774624675081723,1.33312348415e-07,4.83309153398947e-23,3.80970447546697e-15,0.000132749944303035,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF596",668,321,1.11240325935727e-23,2.35099075365995,153,3.02781600337417e-07,168,1.58985104292172e-12,1.40536995625302,1.23826094289641e-11,6.67441955614363e-23,1.1419191784154e-06,1.10452809297719e-11,TRUE,"Both","Unbound",FALSE,FALSE
"LHX2",1439,641,4.68582525014885e-23,1.75557773225682,344,3.10858448399755e-13,297,1.08666354665105e-06,1.5376748734618,4.74423141617085e-06,2.68925623052021e-22,4.55925724319641e-12,3.25999063995315e-06,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"DACH1",1006,456,3.76207607828942e-22,1.94410910077535,258,1.21184575157547e-15,198,0.000135399738294439,-1.36143841402169,2.5475010710802e-20,2.06914184305918e-21,2.66606065346604e-14,0.000297879424247766,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"ZFHX3",1890,791,5.12447091644813e-22,1.62958865169475,411,9.25038148725562e-11,380,5.0195517819797e-08,-0.651130683241894,2.31938504130124e-06,2.70572064388461e-21,9.94750631060842e-10,1.94876716241565e-07,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"ZNF680",889,399,8.738468246073e-22,2.03527028680416,193,4.72866150058983e-07,206,1.94408448858878e-11,-0.575590143111612,6.38012260407428e-05,4.43645310954475e-21,1.68698194075097e-06,1.16645069315327e-10,TRUE,"Both","TES_unique",TRUE,TRUE
"ZNF664",1005,462,3.10811598810755e-21,1.90091529374308,227,2.07832009365343e-07,235,1.23219005071876e-10,0.549502729769551,0.00133807274851899,1.51952337196369e-20,8.31328037461373e-07,6.50596346779505e-10,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"ZNF30",1558,673,9.99823989686918e-21,1.67084395666367,346,1.87457260817355e-09,327,3.12571299546551e-08,-0.840330574295714,0.00238202341573284,4.71345595138118e-20,1.30233465409952e-08,1.28935661062952e-07,TRUE,"Both","TES_unique",TRUE,TRUE
"ZNF2",1204,552,1.10563981507325e-20,1.7708402697969,283,3.3405815475836e-09,269,2.3490699089457e-08,0.524278543938162,0.0135341677328427,5.03256743412652e-20,2.00434892855016e-08,1.00024912251882e-07,TRUE,"Both","Unbound",FALSE,FALSE
"HOXC6",1219,557,1.94442952654251e-20,1.75835842100537,281,2.77891457410077e-08,276,4.13671625080507e-09,-1.26384964149268,5.68267301136538e-09,8.55548991678706e-20,1.31005972779037e-07,2.0223946115047e-08,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF610",915,429,1.0598893851965e-19,1.89430227472513,224,1.31348883376017e-09,205,3.46674864208096e-07,0.760643157810124,4.9975629319099e-05,4.51307738212702e-19,9.95178207853844e-09,1.14402705188672e-06,TRUE,"Both","Unbound",FALSE,FALSE
"SOX3",559,276,1.49718603367531e-19,2.28038412362536,118,0.00133695869746231,158,6.08385584238526e-15,4.26193428228506,1.56108108188622e-61,6.17589238891066e-19,0.00275747731351601,5.7362069371061e-14,TRUE,"Both","TES_unique",TRUE,TRUE
"ATF6",1085,501,2.17552048981701e-19,1.7846564298687,259,4.34039031733943e-09,242,1.68203708273853e-07,-2.02728072433423,2.1984224499452e-49,8.70208195926806e-19,2.49100661690785e-08,5.71677639980135e-07,TRUE,"Both","Unbound",FALSE,FALSE
"HOXB4",1197,530,4.96173524725721e-18,1.70992904508209,271,4.85466021808127e-08,259,1.5385974849165e-07,-1.7188659119054,0.000157940290614914,1.9263207430528e-17,2.13605049595576e-07,5.48905048672915e-07,TRUE,"Both","Unbound",FALSE,FALSE
"MEF2D",660,311,5.11612344431828e-18,2.06822602958738,145,5.22034169337131e-05,166,5.32160342679401e-11,0.446943373689224,0.000745008632467291,1.92950941328575e-17,0.000127608352504632,3.05413761885569e-10,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"FEV",1694,729,5.8329688605173e-18,1.56896173883414,363,1.09333718346025e-06,366,4.6202846621488e-09,4.15934269329409,0.00712391094412945,2.13875524885634e-17,3.70052585171162e-06,2.17813419787015e-08,TRUE,"Both","Unbound",FALSE,FALSE
"HDGF",929,429,1.05681001352045e-17,1.81584127025557,218,1.3291833150671e-07,211,1.18814643133011e-07,0.580742234349943,0.00231786155603947,3.77024112931621e-17,5.48288117465181e-07,4.35653691487708e-07,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"GLI3",756,358,1.82681872803058e-17,1.92673733804517,180,4.27023806976998e-07,178,6.34143070805123e-08,-0.329969673380676,0.0487979319215616,6.34579137105359e-17,1.56575395891566e-06,2.39162529560789e-07,TRUE,"Both","TES_unique",TRUE,TRUE
"ZNF22",1211,481,3.42737115766092e-17,1.73184132092927,211,0.00764680809633899,270,7.28375277870386e-15,-2.04910642057808,3.00858577020453e-12,1.16003331490062e-16,0.0140191481766215,6.18566142554679e-14,TRUE,"Both","TES_unique",TRUE,TRUE
"CUX1",911,394,1.09551443567252e-16,1.8272250817674,205,3.55825357478334e-08,189,2.36781026170115e-06,0.404846534409709,0.00282038804950021,3.6151976377193e-16,1.61961886852207e-07,6.51147821967817e-06,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"PAX6",963,403,2.029466295779e-14,1.71881554301347,205,2.06786571307842e-06,198,2.13196490285574e-06,-0.49560915443735,0.0121691426668232,6.53389148884946e-14,6.20359713923527e-06,6.11781232993386e-06,TRUE,"Both","Unbound",FALSE,FALSE
"ZSCAN31",948,422,2.15797780793245e-14,1.69452505892307,214,2.72560620183564e-06,208,1.6313126747337e-06,-1.51649092330423,3.26147411612266e-21,6.78221596778771e-14,7.82130475309358e-06,4.78518384588553e-06,TRUE,"Both","Unbound",FALSE,FALSE
"NFXL1",473,235,2.95051612797821e-14,2.08241395517423,111,0.000179227398148405,124,2.13649913778453e-08,0.496236404565671,0.00417804907179492,9.05739834635171e-14,0.000399807416112716,9.40059620625194e-08,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF260",881,389,8.0095568832275e-14,1.71180631396538,210,1.59982579519009e-08,179,0.000309639161922465,0.483588305953417,0.00526731372628302,2.40286706496825e-13,8.12219249865739e-08,0.000659231764092991,TRUE,"Both","TES_unique",TRUE,TRUE
"ZBTB5",515,243,8.2297166530198e-14,2.02137565086063,138,7.84397658911614e-10,105,0.0025648012681643,0.41794738245084,0.0120455543520191,2.41405021821914e-13,6.9026993984222e-09,0.00463772284106422,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"ZSCAN2",919,391,1.07929409345806e-13,1.70361874724709,205,2.98386929186426e-07,186,4.19767976956368e-05,0.673433356891791,0.00194548136299943,3.09710478992314e-13,1.1419191784154e-06,0.000100744314469528,TRUE,"Both","Unbound",FALSE,FALSE
"ZBTB18",858,385,1.39697716086622e-13,1.70661460781856,158,0.137025258035861,227,7.49777142490521e-15,-0.510887451282378,0.00116316774370555,3.92342521775194e-13,0.182700344047815,6.18566142554679e-14,TRUE,"Down","TES_unique",TRUE,TRUE
"NR1H4",433,198,4.32730872254131e-13,2.15242818230792,96,9.55940221022185e-05,102,5.58445098039441e-07,-3.36960558105971,1.25737718720873e-12,1.19000989869886e-12,0.000229425653045324,1.72870351673259e-06,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"ZNF561",872,390,4.53288481161201e-13,1.67822630001914,202,1.56522994566689e-06,188,2.71538417961489e-05,0.402500097503388,0.0112041619763553,1.2211036635363e-12,5.03927689824461e-06,6.76284361715405e-05,TRUE,"Both","TES_unique",TRUE,TRUE
"ZNF197",672,295,5.83875670405841e-12,1.77018558971986,166,6.59815599183741e-09,129,0.00632824024557467,0.329185824360419,0.0376790415659978,1.54143176987142e-11,3.48382636369015e-08,0.010991154110735,TRUE,"Both","Unbound",FALSE,FALSE
"ATF5",464,219,6.30996093154966e-12,1.96803395212599,107,0.000166818530730742,112,2.17956641350134e-06,1.03696502822182,5.40361515408277e-09,1.63316635875403e-11,0.000385742734998463,6.12133545919524e-06,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF563",652,277,9.14166674980918e-12,1.79579325089116,143,8.67310818933713e-06,134,5.84016276644987e-05,0.854028653189468,0.00021654359799695,2.32057694418233e-11,2.289700561985e-05,0.000135245874591471,TRUE,"Both","TES_unique",TRUE,TRUE
"ZNF589",709,304,1.54641904171564e-11,1.73003020377464,161,1.61001191108084e-06,143,0.000332506333783773,0.765790264851229,3.6895613951744e-05,3.85145874540499e-11,5.0600374348255e-06,0.000696679937451715,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF558",313,146,1.38233273170651e-10,2.21182879281401,65,0.00725118588422209,81,1.68904757266858e-07,0.936642054406906,1.50540723896798e-08,3.3790355663937e-10,0.0136736648102474,5.71677639980135e-07,TRUE,"Both","Unbound",FALSE,FALSE
"CREB3",520,234,2.28836612786188e-10,1.80709165360111,127,1.55650563002959e-06,107,0.00208264038581938,-0.560562089294091,0.00822192600244896,5.49207870686851e-10,5.03927689824461e-06,0.00392726472754511,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF524",354,177,5.58873813705854e-10,1.96984718658331,94,1.37434776799268e-05,83,0.000838616325606646,-0.541945506278826,0.0285942269265691,1.31734541802094e-09,3.48872894951987e-05,0.00167723265121329,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF584",381,170,9.61314790645316e-10,1.97915829104317,99,7.42647427663098e-08,71,0.0284037445591743,-0.671813057735142,4.23729839993468e-05,2.22620267307336e-09,3.16224065972674e-07,0.0421269020428203,TRUE,"Both","Unbound",FALSE,FALSE
"TSHZ1",238,121,1.52651272868375e-09,2.28420436490962,50,0.0461000351583956,71,4.45095955241306e-08,-1.13503570824723,5.28633202207503e-16,3.47413241700441e-09,0.0699448809299796,1.78038382096522e-07,TRUE,"Down","Unbound",FALSE,FALSE
"HES4",606,274,1.72272426408254e-09,1.66444179631694,147,6.31632477434845e-06,127,0.00253827895583766,1.22628693488564,2.21080038014311e-09,3.85423055693043e-09,1.73698931294582e-05,0.00463772284106422,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF133",239,112,1.78260505360709e-09,2.36839329951964,52,0.00339128190714822,60,7.38838759657879e-06,0.696345254782462,4.79538259366958e-06,3.9217311179356e-09,0.00668133151856068,1.91228855440863e-05,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF577",542,225,1.85481451285223e-08,1.69130708689935,117,0.00014156942451701,108,0.00114334443421042,0.966659681792458,7.57172302791868e-09,4.01369697863106e-08,0.000333699357790095,0.00225255918381755,TRUE,"Both","Unbound",FALSE,FALSE
"RFX7",509,230,1.95053743758488e-08,1.67881660082111,126,7.39602795741215e-06,104,0.0103485758923074,-0.927890575345347,5.95821085705948e-14,4.15275712518072e-08,1.99239936811919e-05,0.0170751502223073,TRUE,"Both","Unbound",FALSE,FALSE
"ARNT2",678,299,2.56954479844325e-08,1.55793002538266,148,0.00175065506412406,151,9.67051932392786e-05,-0.813022915155578,4.86515341764537e-08,5.38380814911918e-08,0.00350131012824812,0.000220087681165255,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"DLX2",291,134,3.93033350710571e-08,1.99351249516987,57,0.0606625248863456,77,5.63138266814405e-07,-0.761523300852717,6.20683350883744e-05,8.10631285840552e-08,0.0870375357064958,1.72870351673259e-06,TRUE,"Down","TEAD1_unique",TRUE,TRUE
"ZNF41",245,114,4.68004219050351e-08,2.12786887076609,60,0.000202450150583197,54,0.00214134091066742,-0.810369050526262,3.31731861303215e-06,9.50408567917635e-08,0.000438088850442328,0.00398108450997323,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF585B",139,70,2.17222902553475e-07,2.60946418543675,29,0.0576002229896378,41,6.43177053271683e-06,0.460571790827273,0.00540859551794899,4.3444580510695e-07,0.0835519718091449,1.69798742063724e-05,TRUE,"Down","TES_unique",TRUE,TRUE
"ZNF236",264,128,2.87416417246383e-07,1.91968580888251,44,0.625470156069254,84,4.56197205607661e-10,0.302885097344458,0.0440240271342337,5.66253239948098e-07,0.699678479670691,2.31607812077735e-09,TRUE,"Down","Unbound",FALSE,FALSE
"PRDM5",125,58,3.2344132847269e-07,2.90219652926827,25,0.0311061020592767,33,3.69240448216999e-05,-1.41973347533342,9.32082317049463e-09,6.27856696446986e-07,0.0488810175217205,9.0258776230822e-05,TRUE,"Both","TES_unique",TRUE,TRUE
"GLI1",628,223,7.90104744148757e-07,1.57393615548554,108,0.0105215069709925,115,0.00020110446854248,4.24700743930115,9.14433015362719e-22,1.51150472793675e-06,0.0187680935158244,0.000435176882747663,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF101",493,203,9.43875248385527e-07,1.6065744392966,109,0.000181730643687598,94,0.013540505666073,0.804984449255415,7.16339410599953e-08,1.77987903981271e-06,0.000399807416112716,0.0215342981677306,TRUE,"Both","Unbound",FALSE,FALSE
"HSF2",249,114,2.29117370327565e-05,1.73749588141404,53,0.0479232660366949,61,0.000580505040849987,0.888970495065925,1.64477458132414e-06,4.25964688496319e-05,0.0718848990550423,0.00117887177526459,TRUE,"Down","Unbound",FALSE,FALSE
"MYBL1",481,189,2.76000824761019e-05,1.50764354164854,96,0.00751159726844078,93,0.00661256333575286,-0.564146492549838,0.00260474288997435,5.06001512061868e-05,0.0139652230906223,0.0113358228612906,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"ZNF746",80,42,3.10521226595769e-05,2.72176679016379,15,0.29371091718738,27,2.5406172029051e-05,0.419714504827603,0.00254862637583654,5.61490437132075e-05,0.372786933353213,6.44925905352833e-05,TRUE,"Down","Unbound",FALSE,FALSE
"RLF",353,150,3.42351292842789e-05,1.58470192029414,85,0.000169493019923567,65,0.11553330658142,-0.439416127521466,0.00223285498873135,6.10680684530381e-05,0.000385742734998463,0.150762570545796,TRUE,"Up","TES_unique",TRUE,TRUE
"HOXC13",123,62,6.77718754553526e-05,2.08720936468034,30,0.0260519478736782,32,0.00460313482668695,0.916169014623343,5.59306699849635e-05,0.000118384045873098,0.042985713991569,0.00810151729496903,TRUE,"Both","Unbound",FALSE,FALSE
"PITX1",350,156,6.81605112602686e-05,1.53688201418979,72,0.0930283634995316,84,0.000479718459039769,0.800807548881433,3.39622498806786e-07,0.000118384045873098,0.12926046296777,0.000989419321769523,TRUE,"Down","Unbound",FALSE,FALSE
"ZNF784",556,228,8.71858908996647e-05,1.40919569503884,134,1.27048096961201e-05,94,0.39453603554603,0.556425656753756,0.0202547013623344,0.000149461527256568,3.28830368605462e-05,0.452858753844138,TRUE,"Up","Unbound",FALSE,FALSE
"ZBTB1",115,58,9.14764902156605e-05,2.11496485148645,26,0.0768667408476611,32,0.00130021163227671,-0.905962129634217,9.41704595027287e-08,0.000154806368057272,0.109101180557971,0.00252394022736068,TRUE,"Down","Unbound",FALSE,FALSE
"ZNF529",46,24,0.000111061755175375,3.8146936044975,8,0.319491330941308,16,0.000131654146593812,0.8189415711911,4.63664260931996e-07,0.000185571540293031,0.397857129096723,0.000294548260175986,TRUE,"Down","Unbound",FALSE,FALSE
"FOXO4",386,159,0.000158822226705015,1.49079316304058,79,0.0264856860625523,80,0.00725713405647752,1.15091261369242,9.82223175904756e-11,0.000258192275433144,0.0431618587686038,0.012281303787885,TRUE,"Both","Unbound",FALSE,FALSE
"HOXD11",150,71,0.000160392171102408,1.88336396610569,40,0.0016662651997665,31,0.0899932528719479,-1.04601085316019,3.64671749713231e-09,0.000258192275433144,0.00338380009798736,0.119991003829264,TRUE,"Up","Unbound",FALSE,FALSE
"ZNF530",32,19,0.000157221301679168,4.74463194904526,4,0.738840623414067,15,6.04677542676131e-06,0.434251743822964,0.0325566726457058,0.000258192275433144,0.799401330251286,1.62892725782141e-05,TRUE,"Down","Unbound",FALSE,FALSE
"ZFP28",131,50,0.000164351444011509,2.18727636252111,25,0.021135068929139,25,0.0129584725556814,0.451635225686936,0.0066149129681676,0.000261378200114689,0.0362315467356668,0.0211175108314807,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF37A",157,68,0.000204984300674883,1.88948113466473,36,0.00799442213026412,32,0.0350443052670429,-0.602054711338619,0.000180516884734914,0.000322118186774816,0.0144556674136283,0.0513983143916629,TRUE,"Up","Unbound",FALSE,FALSE
"ZNF157",85,39,0.000348757505129534,2.35228966420357,27,3.99826593867361e-05,12,0.565502734832969,3.50724301504911,1.76212144737298e-12,0.000541599890318806,9.95794535669653e-05,0.627280344520604,TRUE,"Up","Unbound",FALSE,FALSE
"ZNF785",68,37,0.000395371197212986,2.39679688319459,23,0.000787241388591488,14,0.241626190831707,1.01676974977776,0.0206754834035166,0.000606848814326909,0.00164945814752502,0.295320899905419,TRUE,"Up","Unbound",FALSE,FALSE
"NR1D1",122,59,0.000428290243492019,1.91203337119586,31,0.0134463895195202,28,0.0392148895030232,-0.862245996938492,5.83043863280747e-10,0.000649819679780994,0.0233542554812719,0.0568831364219677,TRUE,"Up","Unbound",FALSE,FALSE
"TFCP2",105,48,0.00105540286327263,1.95273072341883,26,0.013217813947046,22,0.0778117913744977,0.574482125981597,0.000185804565052544,0.00158310429490895,0.023263352546801,0.105888210942615,TRUE,"Up","Unbound",FALSE,FALSE
"ZNF26",30,16,0.00126532025845149,3.99450168311933,7,0.119207873133853,9,0.013328751130676,0.46259480686241,0.00145537298736073,0.00187665476534378,0.162221023233697,0.0214560384054784,TRUE,"Down","Unbound",FALSE,FALSE
"ZFP82",43,22,0.00131565091607385,2.95815345061913,8,0.319491330941308,14,0.00173042805904541,-1.46492602405984,5.0140298552941e-16,0.00192962134357497,0.397857129096723,0.00331038411295643,TRUE,"Down","TES_unique",TRUE,TRUE
"ZNF595",133,60,0.00202344019336082,1.72075639604537,35,0.00369267229251906,25,0.23925334875042,0.445305592798162,0.00994239677150149,0.00293510006069922,0.00716812856783112,0.295153663879023,TRUE,"Up","TES_unique",TRUE,TRUE
"HEY2",76,33,0.00252223377906726,2.13701731354718,15,0.134122558233989,18,0.014659021483467,2.16404098726168,3.2982443536129e-05,0.00361885716127042,0.180654874355985,0.0230356051883053,TRUE,"Down","Unbound",FALSE,FALSE
"PAX8",90,42,0.00320136515028181,1.88332791422088,22,0.0370744129290783,20,0.0748837085045,2.3785410021799,3.16535880757022e-33,0.00454387311652902,0.0569049128678876,0.104048942343095,TRUE,"None","TEAD1_unique",TRUE,TRUE
"SIX4",42,22,0.00361464742188251,2.56351586008125,14,0.00472809764870058,8,0.33490576548359,1.01905107155464,3.43740799263771e-11,0.00507588786902651,0.0090450563714272,0.394710366462802,TRUE,"Up","Unbound",FALSE,FALSE
"ZNF433",69,29,0.00495698887746151,2.11234518332107,15,0.0554246972799807,14,0.0776422865539172,1.26302904126043,5.0476033902478e-19,0.00688760559815705,0.0822029218085106,0.105888210942615,TRUE,"None","TES_unique",TRUE,TRUE
"FOXC1",88,34,0.00633982641908263,1.91750545355365,15,0.215939686375116,19,0.0164161535552674,-0.463520454859282,0.00289977355339791,0.00871726132623862,0.2822182039754,0.0254933208152388,TRUE,"Down","Unbound",FALSE,FALSE
"ZNF85",329,131,0.00640731801099394,1.34909257033218,59,0.346857957349828,72,0.00452069276260299,-0.776578171897261,0.000312862661489661,0.00871923688094021,0.427899536169881,0.00806393844139992,TRUE,"Down","TES_unique",TRUE,TRUE
"ZNF667",147,64,0.00689984810789225,1.5547760698984,35,0.0240264817345802,29,0.169378293418898,0.424394338866824,0.00709764878830647,0.00929367296165079,0.0406601998585203,0.212932711726615,TRUE,"Up","TES_unique",TRUE,TRUE
"ZNF426",225,66,0.0149349339879567,1.46106727947669,28,0.44437081197544,38,0.0075618065416519,-0.916664121677094,2.17690835620938e-10,0.0197141128641028,0.528440965592415,0.012634917259469,TRUE,"Down","TES_unique",TRUE,TRUE
"ZNF777",70,31,0.0148705947159667,1.80609665419018,18,0.0257590857968634,13,0.284950354077919,0.332809421786755,0.035548930087511,0.0197141128641028,0.042985713991569,0.341940424893503,TRUE,"Up","Unbound",FALSE,FALSE
"ZNF292",24,13,0.0154503994764637,2.83909373940978,8,0.0288637592467531,5,0.315604647777589,-1.13785511684408,7.62189985788973e-20,0.0201926012959723,0.0459038098864024,0.375313635194971,TRUE,"Up","TES_unique",TRUE,TRUE
"PPARA",71,32,0.0178558550428954,1.74781537902576,15,0.198044432497322,17,0.0532387277829348,1.07331709483142,6.03247309740381e-16,0.0231075771143353,0.261418650896465,0.0755646458854558,TRUE,"None","Unbound",FALSE,FALSE
"ZNF555",169,50,0.0265107835484242,1.48152685824385,23,0.284138151752603,27,0.0424384101386678,1.93920372747752,2.13903119016282e-43,0.0339749847416698,0.36413821389654,0.0608898928076538,TRUE,"None","TES_unique",TRUE,TRUE
"ZNF697",229,64,0.0333119636800551,1.38147031495608,28,0.44437081197544,36,0.0211223996087576,-0.49631873961884,0.00011186645613133,0.0422805692862238,0.528440965592415,0.0316835994131364,TRUE,"Down","Unbound",FALSE,FALSE
"ZNF532",65,27,0.0465400604951906,1.62684888362872,22,0.000241484737637693,5,0.980272374585115,0.372183509115908,0.00412246217990368,0.0585075046225253,0.000514128796260895,1,FALSE,"Up","TES_unique",TRUE,TRUE
"ATOH8",52,21,0.0493476913411329,1.74714930367616,9,0.376890780967527,12,0.0587742111099476,-4.85107270898167,1.11712845159032e-39,0.0614518420474485,0.4606442878492,0.0825339985799264,FALSE,"None","TEAD1_unique",TRUE,TRUE
"ZNF404",21,10,0.0501018122520377,2.49543646994616,3,0.637000377637196,7,0.0209596052575029,0.572615889276861,0.0129460369273838,0.0618078431520465,0.700717593251789,0.0316835994131364,FALSE,"Down","Shared_equivalent",TRUE,TRUE
"THRA",110,36,0.0590247391882173,1.46303826328642,14,0.623553445351534,22,0.0183772701251958,-0.801506290287107,9.81173279940385e-09,0.07214134789671,0.699678479670691,0.0282069727503005,FALSE,"Down","Unbound",FALSE,FALSE
