gene_symbol,baseMean,log2FoldChange,padj,in_rnaseq_degs,bound_by_tead1
YAP1,2418.95102511305,-0.406817339195767,0.00128540231622534,TRUE,TRUE
SMARCA2,1754.62991588167,-0.397754410600183,0.00179640870096168,TRUE,TRUE
GSK3B,2701.12444631947,-0.405839224956389,0.00570323426620135,TRUE,TRUE
CREB1,1544.24092506686,-0.370826265198885,0.0073419271238392,TRUE,TRUE
ASAP1,4673.54377970013,-0.335717035447587,0.00781946478384525,TRUE,TRUE
SERPINE1,3327.1410440314,-0.484841551560087,0.0155949904868375,TRUE,TRUE
YWHAB,3233.68189340534,-0.430120770288861,0.0172607756157184,TRUE,TRUE
DLC1,147.343449464361,-0.505294443047345,0.0184381763795534,TRUE,TRUE
ETV5,1108.0243675044,0.312573400271908,0.0393297398217127,TRUE,TRUE
SMAD2,2208.67239550671,0.26924628567178,0.0463143024256786,TRUE,TRUE
TAOK1,8198.47884316166,-0.261039559701329,0.0571079755597857,FALSE,TRUE
RUNX1,2917.86442264952,-0.260885005083553,0.0742760123082088,FALSE,TRUE
SMAD6,663.360966189786,-0.278069751908373,0.0764180934704638,FALSE,TRUE
ENAH,9410.30095559826,-0.238945522191872,0.0840085229988054,FALSE,TRUE
GADD45A,900.889768257822,0.420093127953069,0.110097559949491,FALSE,TRUE
STK3,518.579808494325,-0.284643433709993,0.110412830303841,FALSE,TRUE
SMAD1,249.114272974878,-0.345146314200072,0.117029549952986,FALSE,TRUE
GGH,1014.23544462651,-0.686152713517054,0.154896409095924,FALSE,TRUE
TP53BP2,990.654173142762,-0.201920327834631,0.22547831311054,FALSE,FALSE
AMOTL1,903.908476889777,-0.162695245684824,0.3655036046689,FALSE,TRUE
LRP2,5.31602998830362,0.922942302556872,0.403645839190945,FALSE,TRUE
ETS2,914.109981498297,0.145272503713236,0.502103099594717,FALSE,TRUE
FJX1,226.34158788904,0.0807075401942431,0.780382849101656,FALSE,TRUE
YWHAQ,6049.22551898184,0.0542151912052378,0.836922393180064,FALSE,TRUE
GADD45B,999.744066980715,-0.0546398786320334,0.869433132047511,FALSE,TRUE
CYYR1,4.74425672749418,0.185750109812708,0.897990348200403,FALSE,TRUE
SMC3,1836.60855798281,-0.0196599026286986,0.936665180557182,FALSE,TRUE
TP63,15.0491342836763,-0.0216663735758122,0.981767818719935,FALSE,TRUE
AREG,NA,NA,NA,FALSE,FALSE
