"ensembl_id","symbol","expr_direction","n_dmrs","mean_dmr_logFC","predominant_dmr_direction"
"ENSG00000006282","SPATA20","DOWN",1,5.71672409452293,"Hypermethylated"
"ENSG00000006283","CACNA1G","UP",7,5.16703068088871,"Hypermethylated"
"ENSG00000006327","TNFRSF12A","UP",1,5.71674327807608,"Hypermethylated"
"ENSG00000006451","RALA","UP",2,0.66612999910708,"Hypermethylated"
"ENSG00000006453","BAIAP2L1","UP",8,5.31507100914663,"Hypermethylated"
"ENSG00000006459","KDM7A","UP",8,3.2036230927318,"Hypermethylated"
"ENSG00000006576","PHTF2","UP",2,5.95838900791647,"Hypermethylated"
"ENSG00000006606","CCL26","UP",3,4.92123222977668,"Hypermethylated"
"ENSG00000006638","TBXA2R","DOWN",2,5.62546058712069,"Hypermethylated"
"ENSG00000006652","IFRD1","DOWN",1,-3.32493557369309,"Hypomethylated"
"ENSG00000006695","COX10","UP",3,0.25563643098279,"Hypermethylated"
"ENSG00000006704","GTF2IRD1","UP",22,4.72455526857167,"Hypermethylated"
"ENSG00000006837","CDKL3","UP",3,4.06270671236417,"Hypermethylated"
"ENSG00000007047","MARK4","UP",15,4.88624521145562,"Hypermethylated"
"ENSG00000007080","CCDC124","UP",1,3.64035680032403,"Hypermethylated"
"ENSG00000007168","PAFAH1B1","DOWN",9,4.29302293971399,"Hypermethylated"
"ENSG00000007171","NOS2","UP",1,5.42348725001239,"Hypermethylated"
"ENSG00000007174","DNAH9","UP",2,4.96375514576096,"Hypermethylated"
"ENSG00000007202","BLTP2","DOWN",2,3.86962622247309,"Hypermethylated"
"ENSG00000007237","GAS7","DOWN",1,5.4234680628946,"Hypermethylated"
"ENSG00000007350","TKTL1","DOWN",1,2.76470451995967,"Hypermethylated"
"ENSG00000007372","PAX6","DOWN",6,3.35515354518122,"Hypermethylated"
"ENSG00000007520","TSR3","UP",1,5.42348725001239,"Hypermethylated"
"ENSG00000007923","DNAJC11","UP",5,4.34488444395288,"Hypermethylated"
"ENSG00000008083","JARID2","UP",5,4.64633170512892,"Hypermethylated"
"ENSG00000008086","CDKL5","UP",1,5.63072849422675,"Hypermethylated"
"ENSG00000008256","CYTH3","DOWN",1,3.52088818974907,"Hypermethylated"
"ENSG00000008441","NFIX","DOWN",8,5.17640753442574,"Hypermethylated"
"ENSG00000008513","ST3GAL1","DOWN",3,2.60752690309829,"Hypermethylated"
"ENSG00000008838","MED24","UP",11,5.06460963367435,"Hypermethylated"
"ENSG00000008853","RHOBTB2","UP",2,5.57011526595393,"Hypermethylated"
"ENSG00000008952","SEC62","DOWN",2,4.3219867904532,"Hypermethylated"
"ENSG00000009950","MLXIPL","UP",1,5.43008274526896,"Hypermethylated"
"ENSG00000009954","BAZ1B","DOWN",5,4.21887943258406,"Hypermethylated"
"ENSG00000010017","RANBP9","UP",2,5.57010567048534,"Hypermethylated"
"ENSG00000010072","SPRTN","UP",1,2.82353324992684,"Hypermethylated"
"ENSG00000010165","METTL13","UP",1,5.96032613030607,"Hypermethylated"
"ENSG00000010244","ZNF207","UP",4,4.54861730450362,"Hypermethylated"
"ENSG00000010292","NCAPD2","DOWN",4,1.49662604143055,"Hypermethylated"
"ENSG00000010610","CD4","UP",1,2.44970708832727,"Hypermethylated"
"ENSG00000010803","SCMH1","DOWN",1,3.52090736566821,"Hypermethylated"
"ENSG00000011028","MRC2","DOWN",8,5.27241251942591,"Hypermethylated"
"ENSG00000011143","MKS1","DOWN",3,3.61414823614645,"Hypermethylated"
"ENSG00000011198","ABHD5","UP",1,-1.91930325103492,"Hypomethylated"
"ENSG00000011275","RNF216","UP",5,2.46754468560121,"Hypermethylated"
"ENSG00000011376","LARS2","UP",3,1.9790292475703,"Hypermethylated"
"ENSG00000011422","PLAUR","UP",4,4.26703127324233,"Hypermethylated"
"ENSG00000011523","CEP68","DOWN",1,5.8025445472944,"Hypermethylated"
"ENSG00000012048","BRCA1","DOWN",10,3.62054143025278,"Hypermethylated"
"ENSG00000012232","EXTL3","UP",4,5.12953262869525,"Hypermethylated"
"ENSG00000013288","MAN2B2","UP",4,5.82004375312785,"Hypermethylated"
"ENSG00000013374","NUB1","DOWN",8,3.7931851597961,"Hypermethylated"
"ENSG00000013375","PGM3","DOWN",1,-2.40409301159762,"Hypomethylated"
"ENSG00000013810","TACC3","DOWN",2,4.1190635035916,"Hypermethylated"
"ENSG00000014138","POLA2","DOWN",6,5.3046167311305,"Hypermethylated"
"ENSG00000014216","CAPN1","DOWN",3,5.77868415702742,"Hypermethylated"
"ENSG00000015285","WAS","UP",1,5.52799070756349,"Hypermethylated"
"ENSG00000015479","MATR3","DOWN",1,3.70286531749976,"Hypermethylated"
"ENSG00000016602","CLCA4","UP",1,5.42348725001239,"Hypermethylated"
"ENSG00000018408","WWTR1","DOWN",4,5.6715261357142,"Hypermethylated"
"ENSG00000019144","PHLDB1","DOWN",1,5.62545099466521,"Hypermethylated"
"ENSG00000019186","CYP24A1","DOWN",3,4.30555479368912,"Hypermethylated"
"ENSG00000019485","PRDM11","DOWN",3,4.83574646931003,"Hypermethylated"
"ENSG00000020181","ADGRA2","DOWN",2,5.52775697521395,"Hypermethylated"
"ENSG00000020256","ZFP64","UP",3,3.79191670165117,"Hypermethylated"
"ENSG00000020577","SAMD4A","DOWN",1,5.96032613030607,"Hypermethylated"
"ENSG00000021300","PLEKHB1","DOWN",1,5.71676246188377,"Hypermethylated"
"ENSG00000021574","SPAST","UP",4,4.48903001423736,"Hypermethylated"
"ENSG00000021762","OSBPL5","DOWN",1,5.71287789019994,"Hypermethylated"
"ENSG00000021776","AQR","DOWN",1,-2.40550668223413,"Hypomethylated"
"ENSG00000022567","SLC45A4","DOWN",32,4.95824874144467,"Hypermethylated"
"ENSG00000022840","RNF10","DOWN",1,5.4234680628946,"Hypermethylated"
"ENSG00000022976","ZNF839","DOWN",1,5.52816145041163,"Hypermethylated"
"ENSG00000023839","ABCC2","UP",1,6.16866045184777,"Hypermethylated"
"ENSG00000024422","EHD2","DOWN",4,4.60568853063332,"Hypermethylated"
"ENSG00000025156","HSF2","UP",1,-2.31231477425174,"Hypomethylated"
"ENSG00000025434","NR1H3","DOWN",2,5.95645240029588,"Hypermethylated"
"ENSG00000025796","SEC63","DOWN",1,-1.86315119441443,"Hypomethylated"
"ENSG00000027001","MIPEP","UP",1,3.45475647079678,"Hypermethylated"
"ENSG00000027075","PRKCH","UP",2,0.91154680567134,"Hypermethylated"
"ENSG00000028116","VRK2","UP",1,5.54189268281575,"Hypermethylated"
"ENSG00000028277","POU2F2","UP",1,4.05520462324051,"Hypermethylated"
"ENSG00000029364","SLC39A9","UP",2,1.15795618137639,"Hypermethylated"
"ENSG00000029534","ANK1","DOWN",1,5.96034531029577,"Hypermethylated"
"ENSG00000029559","IBSP","UP",1,5.4234680628946,"Hypermethylated"
"ENSG00000029725","RABEP1","UP",5,4.14509066841426,"Hypermethylated"
"ENSG00000030066","NUP160","DOWN",1,2.70410586585234,"Hypermethylated"
"ENSG00000030110","BAK1","UP",1,3.38540573166709,"Hypermethylated"
"ENSG00000030582","GRN","UP",1,5.5205448999594,"Hypermethylated"
"ENSG00000031081","ARHGAP31","DOWN",1,5.42350643738492,"Hypermethylated"
"ENSG00000031698","SARS1","UP",2,1.70008394600756,"Hypermethylated"
"ENSG00000032389","EIPR1","UP",18,3.99446371914724,"Hypermethylated"
"ENSG00000032444","PNPLA6","DOWN",2,5.47572938590811,"Hypermethylated"
"ENSG00000033100","CHPF2","UP",3,4.29849853096812,"Hypermethylated"
"ENSG00000033327","GAB2","UP",2,5.52711683922287,"Hypermethylated"
"ENSG00000033627","ATP6V0A1","DOWN",9,4.79229005276483,"Hypermethylated"
"ENSG00000034152","MAP2K3","UP",4,4.21959098241216,"Hypermethylated"
"ENSG00000035403","VCL","DOWN",5,5.52728771250597,"Hypermethylated"
"ENSG00000035664","DAPK2","UP",2,4.55053087113408,"Hypermethylated"
"ENSG00000035681","NSMAF","DOWN",2,1.5929560439688,"Hypermethylated"
"ENSG00000035720","STAP1","UP",2,0.599446211235175,"Hypermethylated"
"ENSG00000035862","TIMP2","DOWN",19,4.74255960512144,"Hypermethylated"
"ENSG00000035928","RFC1","DOWN",1,-2.70237949453616,"Hypomethylated"
"ENSG00000036257","CUL3","UP",2,4.29782325024358,"Hypermethylated"
"ENSG00000037280","FLT4","UP",1,5.8025445472944,"Hypermethylated"
"ENSG00000038427","VCAN","DOWN",1,-2.40576930516901,"Hypomethylated"
"ENSG00000039068","CDH1","UP",6,5.54398394834002,"Hypermethylated"
"ENSG00000039139","DNAH5","DOWN",1,5.71676246188377,"Hypermethylated"
"ENSG00000039523","RIPOR1","DOWN",3,5.73806418303133,"Hypermethylated"
"ENSG00000039560","RAI14","DOWN",2,0.305087037975365,"Hypermethylated"
"ENSG00000040199","PHLPP2","DOWN",7,5.26313856732918,"Hypermethylated"
"ENSG00000040531","CTNS","UP",6,5.12883805818418,"Hypermethylated"
"ENSG00000041982","TNC","DOWN",1,5.4234680628946,"Hypermethylated"
"ENSG00000042286","AIFM2","DOWN",5,6.06390749458917,"Hypermethylated"
"ENSG00000042781","USH2A","DOWN",1,2.76393527586139,"Hypermethylated"
"ENSG00000042832","TG","UP",5,1.17100776111968,"Hypermethylated"
"ENSG00000043039","BARX2","UP",1,3.64474879902592,"Hypermethylated"
"ENSG00000043143","JADE2","DOWN",4,5.77011899644329,"Hypermethylated"
"ENSG00000044090","CUL7","DOWN",7,5.74731916761406,"Hypermethylated"
"ENSG00000044459","CNTLN","DOWN",6,0.618067447423238,"Hypermethylated"
"ENSG00000044524","EPHA3","DOWN",2,2.99316410742536,"Hypermethylated"
"ENSG00000046647","GEMIN8","DOWN",1,-3.10757516122765,"Hypomethylated"
"ENSG00000047315","POLR2B","DOWN",4,5.73621681926439,"Hypermethylated"
"ENSG00000047457","CP","DOWN",1,5.88223307548825,"Hypermethylated"
"ENSG00000047597","XK","DOWN",1,-3.11047698373764,"Hypomethylated"
"ENSG00000047644","WWC3","DOWN",4,5.04567905709803,"Hypermethylated"
"ENSG00000047648","ARHGAP6","DOWN",1,-2.70241844156005,"Hypomethylated"
"ENSG00000047849","MAP4","DOWN",2,5.62234780939391,"Hypermethylated"
"ENSG00000047932","GOPC","DOWN",2,4.16465967708091,"Hypermethylated"
"ENSG00000047936","ROS1","DOWN",2,4.16465967708091,"Hypermethylated"
"ENSG00000048052","HDAC9","DOWN",4,-3.26088931520926,"Hypomethylated"
"ENSG00000048140","TSPAN17","UP",4,5.67854056738333,"Hypermethylated"
"ENSG00000048392","RRM2B","DOWN",2,5.8483159868258,"Hypermethylated"
"ENSG00000048649","RSF1","UP",2,5.62234780816338,"Hypermethylated"
"ENSG00000048707","VPS13D","DOWN",2,3.02512276708892,"Hypermethylated"
"ENSG00000048991","R3HDM1","UP",3,5.75617343604618,"Hypermethylated"
"ENSG00000049130","KITLG","DOWN",1,-3.66728064016271,"Hypomethylated"
"ENSG00000049192","ADAMTS6","DOWN",1,5.42348725001239,"Hypermethylated"
"ENSG00000049239","H6PD","UP",4,5.52782448487811,"Hypermethylated"
"ENSG00000049323","LTBP1","DOWN",2,4.06535063006283,"Hypermethylated"
"ENSG00000049449","RCN1","DOWN",2,5.6452635966037,"Hypermethylated"
"ENSG00000049540","ELN","UP",5,5.56415936464974,"Hypermethylated"
"ENSG00000049541","RFC2","DOWN",4,4.09527474551577,"Hypermethylated"
"ENSG00000049618","ARID1B","UP",15,4.02137052458862,"Hypermethylated"
"ENSG00000050393","MCUR1","DOWN",1,6.10619538190799,"Hypermethylated"
"ENSG00000050555","LAMC3","UP",1,5.52052739226556,"Hypermethylated"
"ENSG00000051128","HOMER3","DOWN",1,3.45176895181205,"Hypermethylated"
"ENSG00000051180","RAD51","DOWN",3,5.71715633165064,"Hypermethylated"
"ENSG00000051341","POLQ","DOWN",2,1.09924107136969,"Hypermethylated"
"ENSG00000051382","PIK3CB","DOWN",8,3.92681908676538,"Hypermethylated"
"ENSG00000052749","RRP12","UP",5,4.3107510664744,"Hypermethylated"
"ENSG00000053747","LAMA3","DOWN",2,5.52445953149601,"Hypermethylated"
"ENSG00000054277","OPN3","UP",1,-1.98864296199419,"Hypomethylated"
"ENSG00000054654","SYNE2","UP",3,5.67900742055239,"Hypermethylated"
"ENSG00000054793","ATP9A","DOWN",10,4.69813917669051,"Hypermethylated"
"ENSG00000055044","NOP58","DOWN",1,5.80256372923548,"Hypermethylated"
"ENSG00000055118","KCNH2","UP",7,5.05780166549641,"Hypermethylated"
"ENSG00000055163","CYFIP2","DOWN",2,5.71665466643458,"Hypermethylated"
"ENSG00000055208","TAB2","DOWN",4,1.68846476947172,"Hypermethylated"
"ENSG00000055332","EIF2AK2","DOWN",1,5.71676246188377,"Hypermethylated"
"ENSG00000055609","KMT2C","UP",21,3.29243449488872,"Hypermethylated"
"ENSG00000056277","ZNF280C","UP",2,1.36385997927464,"Hypermethylated"
"ENSG00000057252","SOAT1","UP",2,4.42027228296517,"Hypermethylated"
"ENSG00000057657","PRDM1","UP",3,5.053550572621,"Hypermethylated"
"ENSG00000057935","MTA3","DOWN",5,3.72855102180721,"Hypermethylated"
"ENSG00000058056","USP13","DOWN",6,3.75548753070222,"Hypermethylated"
"ENSG00000058091","CDK14","DOWN",8,0.184473176543503,"Hypermethylated"
"ENSG00000058453","CROCC","UP",5,4.99522895283978,"Hypermethylated"
"ENSG00000059145","UNKL","DOWN",1,5.94308432577091,"Hypermethylated"
"ENSG00000059377","TBXAS1","UP",19,3.08580424901756,"Hypermethylated"
"ENSG00000059378","PARP12","DOWN",6,3.22822630454769,"Hypermethylated"
"ENSG00000059573","ALDH18A1","DOWN",1,3.58408474869135,"Hypermethylated"
"ENSG00000059804","SLC2A3","UP",3,5.79049766650005,"Hypermethylated"
"ENSG00000060237","WNK1","UP",1,-3.22130320135892,"Hypomethylated"
"ENSG00000060339","CCAR1","DOWN",7,4.64007193414436,"Hypermethylated"
"ENSG00000060656","PTPRU","UP",2,4.83911603664527,"Hypermethylated"
"ENSG00000060718","COL11A1","DOWN",1,5.71676246188377,"Hypermethylated"
"ENSG00000061936","SFSWAP","UP",3,5.15897033731864,"Hypermethylated"
"ENSG00000062038","CDH3","UP",4,5.99852620258406,"Hypermethylated"
"ENSG00000062282","DGAT2","UP",1,5.42348725001239,"Hypermethylated"
"ENSG00000062598","ELMO2","UP",1,5.71674327807608,"Hypermethylated"
"ENSG00000062650","WAPL","UP",4,5.62544140259164,"Hypermethylated"
"ENSG00000062716","VMP1","UP",7,3.61203685525885,"Hypermethylated"
"ENSG00000062725","APPBP2","DOWN",4,0.777523584511602,"Hypermethylated"
"ENSG00000062822","POLD1","DOWN",3,5.68448857220477,"Hypermethylated"
"ENSG00000063015","SEZ6","UP",1,3.52088791558351,"Hypermethylated"
"ENSG00000063169","BICRA","DOWN",8,4.16361329050387,"Hypermethylated"
"ENSG00000063180","CA11","UP",1,5.4301057750856,"Hypermethylated"
"ENSG00000063587","ZNF275","UP",1,5.71676246188377,"Hypermethylated"
"ENSG00000063601","MTMR1","DOWN",1,5.6254126256071,"Hypermethylated"
"ENSG00000063660","GPC1","UP",1,3.08293356783423,"Hypermethylated"
"ENSG00000064042","LIMCH1","DOWN",4,1.63108691354567,"Hypermethylated"
"ENSG00000064205","CCN5","UP",1,5.42350643738492,"Hypermethylated"
"ENSG00000064300","NGFR","UP",1,5.42348725001239,"Hypermethylated"
"ENSG00000064309","CDON","DOWN",1,2.4455097660727,"Hypermethylated"
"ENSG00000064313","TAF2","UP",3,5.05872147857703,"Hypermethylated"
"ENSG00000064393","HIPK2","DOWN",37,3.29279694166743,"Hypermethylated"
"ENSG00000064545","TMEM161A","UP",2,5.66491036662819,"Hypermethylated"
"ENSG00000064651","SLC12A2","DOWN",2,-2.47362057495842,"Hypomethylated"
"ENSG00000064655","EYA2","UP",3,5.02081865061004,"Hypermethylated"
"ENSG00000064666","CNN2","DOWN",2,4.5244586247025,"Hypermethylated"
"ENSG00000064687","ABCA7","UP",2,5.81525013226991,"Hypermethylated"
"ENSG00000064703","DDX20","DOWN",2,4.70752198631997,"Hypermethylated"
"ENSG00000064961","HMG20B","DOWN",2,4.23155608086397,"Hypermethylated"
"ENSG00000064999","ANKS1A","UP",3,5.76637792917951,"Hypermethylated"
"ENSG00000065268","WDR18","DOWN",2,5.57669207370547,"Hypermethylated"
"ENSG00000065457","ADAT1","UP",1,5.95539248147174,"Hypermethylated"
"ENSG00000065485","PDIA5","DOWN",2,5.94194009081068,"Hypermethylated"
"ENSG00000065526","SPEN","DOWN",4,4.05400124691158,"Hypermethylated"
"ENSG00000065559","MAP2K4","DOWN",1,5.96030695057071,"Hypermethylated"
"ENSG00000065717","TLE2","UP",3,5.70292512658419,"Hypermethylated"
"ENSG00000065802","ASB1","DOWN",4,3.13396668400227,"Hypermethylated"
"ENSG00000065911","MTHFD2","DOWN",1,-2.99807974013825,"Hypomethylated"
"ENSG00000065989","PDE4A","UP",2,6.00727747746324,"Hypermethylated"
"ENSG00000066032","CTNNA2","DOWN",1,-3.5186690909743,"Hypomethylated"
"ENSG00000066044","ELAVL1","DOWN",7,5.1220532556499,"Hypermethylated"
"ENSG00000066248","NGEF","UP",6,4.92550992021489,"Hypermethylated"
"ENSG00000066405","CLDN18","DOWN",2,4.99064056381512,"Hypermethylated"
"ENSG00000066697","MSANTD3","DOWN",1,3.45471811649943,"Hypermethylated"
"ENSG00000066777","ARFGEF1","UP",1,5.83625717192252,"Hypermethylated"
"ENSG00000066827","ZFAT","UP",16,5.30801918500134,"Hypermethylated"
"ENSG00000066855","MTFR1","UP",3,3.99646430222084,"Hypermethylated"
"ENSG00000066923","STAG3","UP",1,3.3853868274543,"Hypermethylated"
"ENSG00000066933","MYO9A","UP",6,4.34983659216188,"Hypermethylated"
"ENSG00000067057","PFKP","DOWN",4,4.91506986686754,"Hypermethylated"
"ENSG00000067113","PLPP1","UP",1,5.42348725001239,"Hypermethylated"
"ENSG00000067225","PKM","DOWN",1,3.63246565198647,"Hypermethylated"
"ENSG00000067369","TP53BP1","DOWN",6,5.76342036450121,"Hypermethylated"
"ENSG00000067606","PRKCZ","DOWN",3,4.73563860697757,"Hypermethylated"
"ENSG00000067715","SYT1","DOWN",1,5.88359974518812,"Hypermethylated"
"ENSG00000067798","NAV3","DOWN",2,1.50415428528963,"Hypermethylated"
"ENSG00000068137","PLEKHH3","DOWN",1,3.38271754119949,"Hypermethylated"
"ENSG00000068383","INPP5A","DOWN",42,4.95056185382326,"Hypermethylated"
"ENSG00000068489","PRR11","DOWN",3,4.9715960098681,"Hypermethylated"
"ENSG00000068650","ATP11A","UP",4,4.50298659135603,"Hypermethylated"
"ENSG00000068654","POLR1A","DOWN",3,5.46051102930953,"Hypermethylated"
"ENSG00000068724","TTC7A","DOWN",10,4.960093809428,"Hypermethylated"
"ENSG00000068745","IP6K2","UP",1,6.28820131983956,"Hypermethylated"
"ENSG00000068784","SRBD1","DOWN",3,2.21162886404835,"Hypermethylated"
"ENSG00000068878","PSME4","UP",2,5.54428911672761,"Hypermethylated"
"ENSG00000069011","PITX1","UP",1,5.62543181000885,"Hypermethylated"
"ENSG00000069020","MAST4","DOWN",1,5.80258291143102,"Hypermethylated"
"ENSG00000069424","KCNAB2","UP",5,4.45957860921566,"Hypermethylated"
"ENSG00000069849","ATP1B3","UP",2,5.52445953001062,"Hypermethylated"
"ENSG00000069869","NEDD4","DOWN",4,4.30678167637331,"Hypermethylated"
"ENSG00000069943","PIGB","DOWN",1,6.82929558914667,"Hypermethylated"
"ENSG00000069956","MAPK6","DOWN",10,4.4653178073737,"Hypermethylated"
"ENSG00000069966","GNB5","DOWN",2,3.68809102529306,"Hypermethylated"
"ENSG00000069974","RAB27A","UP",4,2.95292344746817,"Hypermethylated"
"ENSG00000070087","PFN2","DOWN",1,5.52051531367839,"Hypermethylated"
"ENSG00000070159","PTPN3","UP",1,5.88223825122583,"Hypermethylated"
"ENSG00000070214","SLC44A1","DOWN",4,2.90843531259926,"Hypermethylated"
"ENSG00000070413","DGCR2","UP",1,5.80260209388105,"Hypermethylated"
"ENSG00000070423","RNF126","DOWN",4,5.75358212855192,"Hypermethylated"
"ENSG00000070476","ZXDC","DOWN",2,5.52444993645173,"Hypermethylated"
"ENSG00000070614","NDST1","DOWN",2,5.99672343210228,"Hypermethylated"
"ENSG00000070729","CNGB1","UP",2,5.66529640072227,"Hypermethylated"
"ENSG00000070731","ST6GALNAC2","DOWN",3,5.31145301818627,"Hypermethylated"
"ENSG00000070756","PABPC1","UP",2,2.44182511159707,"Hypermethylated"
"ENSG00000070808","CAMK2A","UP",2,5.52426590624968,"Hypermethylated"
"ENSG00000070882","OSBPL3","UP",2,4.441003430682,"Hypermethylated"
"ENSG00000070915","SLC12A3","UP",6,4.92897203684803,"Hypermethylated"
"ENSG00000071051","NCK2","DOWN",5,5.28904415191166,"Hypermethylated"
"ENSG00000071127","WDR1","DOWN",5,4.17212745235345,"Hypermethylated"
"ENSG00000071189","SNX13","DOWN",2,-2.25780026866721,"Hypomethylated"
"ENSG00000071205","ARHGAP10","DOWN",2,5.65843116266625,"Hypermethylated"
"ENSG00000071242","RPS6KA2","DOWN",17,4.53432127493773,"Hypermethylated"
"ENSG00000071282","LMCD1","DOWN",1,5.52817758855173,"Hypermethylated"
"ENSG00000071537","SEL1L","UP",1,-4.14568199794113,"Hypomethylated"
"ENSG00000071553","ATP6AP1","UP",2,5.4234776564535,"Hypermethylated"
"ENSG00000071626","DAZAP1","DOWN",8,5.12440755210102,"Hypermethylated"
"ENSG00000071794","HLTF","DOWN",2,4.06380951282364,"Hypermethylated"
"ENSG00000071859","FAM50A","DOWN",1,5.4234680628946,"Hypermethylated"
"ENSG00000072110","ACTN1","DOWN",1,5.69838493149,"Hypermethylated"
"ENSG00000072121","ZFYVE26","UP",1,5.43010450770391,"Hypermethylated"
"ENSG00000072195","SPEG","DOWN",1,3.70293555456711,"Hypermethylated"
"ENSG00000072201","LNX1","DOWN",12,0.383459948448541,"Hypermethylated"
"ENSG00000072274","TFRC","UP",3,3.47043431317813,"Hypermethylated"
"ENSG00000072364","AFF4","UP",2,5.69273707838729,"Hypermethylated"
"ENSG00000072682","P4HA2","DOWN",2,5.80859394599215,"Hypermethylated"
"ENSG00000072736","NFATC3","UP",9,3.37542531872579,"Hypermethylated"
"ENSG00000072778","ACADVL","DOWN",1,5.52797152180383,"Hypermethylated"
"ENSG00000072803","FBXW11","UP",1,3.53814860103438,"Hypermethylated"
"ENSG00000072832","CRMP1","DOWN",6,5.1759251527782,"Hypermethylated"
"ENSG00000072840","EVC","DOWN",3,5.86157887377818,"Hypermethylated"
"ENSG00000073008","PVR","DOWN",2,5.79111989671052,"Hypermethylated"
"ENSG00000073050","XRCC1","DOWN",2,5.03504523061804,"Hypermethylated"
"ENSG00000073060","SCARB1","DOWN",6,5.20186229430333,"Hypermethylated"
"ENSG00000073146","MOV10L1","DOWN",1,5.63072845908608,"Hypermethylated"
"ENSG00000073464","CLCN4","DOWN",1,5.4234680628946,"Hypermethylated"
"ENSG00000073614","KDM5A","DOWN",1,6.18711885980335,"Hypermethylated"
"ENSG00000073670","ADAM11","DOWN",1,5.71670491122433,"Hypermethylated"
"ENSG00000073711","PPP2R3A","DOWN",1,3.38538655328875,"Hypermethylated"
"ENSG00000073792","IGF2BP2","UP",14,4.50291531736398,"Hypermethylated"
"ENSG00000074266","EED","DOWN",1,-2.61774054710784,"Hypomethylated"
"ENSG00000074370","ATP2A3","UP",3,5.56208108940292,"Hypermethylated"
"ENSG00000074416","MGLL","UP",10,5.3275483587244,"Hypermethylated"
"ENSG00000074621","SLC24A1","DOWN",2,2.98639237024488,"Hypermethylated"
"ENSG00000074657","ZNF532","UP",2,4.99820597250655,"Hypermethylated"
"ENSG00000074696","HACD3","DOWN",2,6.19192400659928,"Hypermethylated"
"ENSG00000074800","ENO1","DOWN",1,2.19064376118043,"Hypermethylated"
"ENSG00000074855","ANO8","DOWN",2,4.56759663449917,"Hypermethylated"
"ENSG00000074964","ARHGEF10L","DOWN",15,4.71872317586597,"Hypermethylated"
"ENSG00000074966","TXK","UP",1,5.62543181000885,"Hypermethylated"
"ENSG00000075073","TACR2","DOWN",1,5.52799070756349,"Hypermethylated"
"ENSG00000075131","TIPIN","DOWN",7,5.05553405374206,"Hypermethylated"
"ENSG00000075151","EIF4G3","DOWN",7,5.08447052166146,"Hypermethylated"
"ENSG00000075213","SEMA3A","DOWN",10,0.269426249938969,"Hypermethylated"
"ENSG00000075218","GTSE1","DOWN",1,5.96030695057071,"Hypermethylated"
"ENSG00000075223","SEMA3C","DOWN",1,-2.52211557550018,"Hypomethylated"
"ENSG00000075234","TTC38","DOWN",1,5.71676246188377,"Hypermethylated"
"ENSG00000075239","ACAT1","DOWN",1,5.68044061702993,"Hypermethylated"
"ENSG00000075275","CELSR1","UP",4,5.80624974561452,"Hypermethylated"
